,Persistência-1,Persistência-2,Persistência-3,Persistência-4,Persistência-5,Persistência-6,Persistência-7,Persistência-8,Persistência-9,Persistência-10,Persistência-11,Persistência-12
2018-09-01 00:00:00,98.86666666666666,97.15,97.43333333333334,99.95,105.21666666666664,105.03333333333336,101.31666666666666,95.88333333333333,95.01666666666668,104.13333333333334,100.51666666666668,97.28333333333336
2018-09-01 00:30:00,100.28333333333332,98.86666666666666,97.15,97.43333333333334,99.95,105.21666666666664,105.03333333333336,101.31666666666666,95.88333333333333,95.01666666666668,104.13333333333334,100.51666666666668
2018-09-01 01:00:00,105.98333333333332,100.28333333333332,98.86666666666666,97.15,97.43333333333334,99.95,105.21666666666664,105.03333333333336,101.31666666666666,95.88333333333333,95.01666666666668,104.13333333333334
2018-09-01 01:30:00,110.21666666666664,105.98333333333332,100.28333333333332,98.86666666666666,97.15,97.43333333333334,99.95,105.21666666666664,105.03333333333336,101.31666666666666,95.88333333333333,95.01666666666668
2018-09-01 02:00:00,118.18333333333332,110.21666666666664,105.98333333333332,100.28333333333332,98.86666666666666,97.15,97.43333333333334,99.95,105.21666666666664,105.03333333333336,101.31666666666666,95.88333333333333
2018-09-01 02:30:00,118.95,118.18333333333332,110.21666666666664,105.98333333333332,100.28333333333332,98.86666666666666,97.15,97.43333333333334,99.95,105.21666666666664,105.03333333333336,101.31666666666666
2018-09-01 03:00:00,106.21666666666668,118.95,118.18333333333332,110.21666666666664,105.98333333333332,100.28333333333332,98.86666666666666,97.15,97.43333333333334,99.95,105.21666666666664,105.03333333333336
2018-09-01 03:30:00,111.85,106.21666666666668,118.95,118.18333333333332,110.21666666666664,105.98333333333332,100.28333333333332,98.86666666666666,97.15,97.43333333333334,99.95,105.21666666666664
2018-09-01 04:00:00,96.76666666666668,111.85,106.21666666666668,118.95,118.18333333333332,110.21666666666664,105.98333333333332,100.28333333333332,98.86666666666666,97.15,97.43333333333334,99.95
2018-09-01 04:30:00,90.18333333333334,96.76666666666668,111.85,106.21666666666668,118.95,118.18333333333332,110.21666666666664,105.98333333333332,100.28333333333332,98.86666666666666,97.15,97.43333333333334
2018-09-01 05:00:00,82.5,90.18333333333334,96.76666666666668,111.85,106.21666666666668,118.95,118.18333333333332,110.21666666666664,105.98333333333332,100.28333333333332,98.86666666666666,97.15
2018-09-01 05:30:00,75.18333333333334,82.5,90.18333333333334,96.76666666666668,111.85,106.21666666666668,118.95,118.18333333333332,110.21666666666664,105.98333333333332,100.28333333333332,98.86666666666666
2018-09-01 06:00:00,71.06666666666666,75.18333333333334,82.5,90.18333333333334,96.76666666666668,111.85,106.21666666666668,118.95,118.18333333333332,110.21666666666664,105.98333333333332,100.28333333333332
2018-09-01 06:30:00,58.43333333333334,71.06666666666666,75.18333333333334,82.5,90.18333333333334,96.76666666666668,111.85,106.21666666666668,118.95,118.18333333333332,110.21666666666664,105.98333333333332
2018-09-01 07:00:00,57.26666666666666,58.43333333333334,71.06666666666666,75.18333333333334,82.5,90.18333333333334,96.76666666666668,111.85,106.21666666666668,118.95,118.18333333333332,110.21666666666664
2018-09-01 07:30:00,49.9,57.26666666666666,58.43333333333334,71.06666666666666,75.18333333333334,82.5,90.18333333333334,96.76666666666668,111.85,106.21666666666668,118.95,118.18333333333332
2018-09-01 08:00:00,32.71666666666667,49.9,57.26666666666666,58.43333333333334,71.06666666666666,75.18333333333334,82.5,90.18333333333334,96.76666666666668,111.85,106.21666666666668,118.95
2018-09-01 08:30:00,22.950000000000003,32.71666666666667,49.9,57.26666666666666,58.43333333333334,71.06666666666666,75.18333333333334,82.5,90.18333333333334,96.76666666666668,111.85,106.21666666666668
2018-09-01 09:00:00,21.666666666666668,22.950000000000003,32.71666666666667,49.9,57.26666666666666,58.43333333333334,71.06666666666666,75.18333333333334,82.5,90.18333333333334,96.76666666666668,111.85
2018-09-01 09:30:00,14.266666666666666,21.666666666666668,22.950000000000003,32.71666666666667,49.9,57.26666666666666,58.43333333333334,71.06666666666666,75.18333333333334,82.5,90.18333333333334,96.76666666666668
2018-09-01 10:00:00,18.4,14.266666666666666,21.666666666666668,22.950000000000003,32.71666666666667,49.9,57.26666666666666,58.43333333333334,71.06666666666666,75.18333333333334,82.5,90.18333333333334
2018-09-01 10:30:00,15.516666666666667,18.4,14.266666666666666,21.666666666666668,22.950000000000003,32.71666666666667,49.9,57.26666666666666,58.43333333333334,71.06666666666666,75.18333333333334,82.5
2018-09-01 11:00:00,20.03333333333333,15.516666666666667,18.4,14.266666666666666,21.666666666666668,22.950000000000003,32.71666666666667,49.9,57.26666666666666,58.43333333333334,71.06666666666666,75.18333333333334
2018-09-01 11:30:00,20.666666666666668,20.03333333333333,15.516666666666667,18.4,14.266666666666666,21.666666666666668,22.950000000000003,32.71666666666667,49.9,57.26666666666666,58.43333333333334,71.06666666666666
2018-09-01 12:00:00,14.433333333333335,20.666666666666668,20.03333333333333,15.516666666666667,18.4,14.266666666666666,21.666666666666668,22.950000000000003,32.71666666666667,49.9,57.26666666666666,58.43333333333334
2018-09-01 12:30:00,16.05,14.433333333333335,20.666666666666668,20.03333333333333,15.516666666666667,18.4,14.266666666666666,21.666666666666668,22.950000000000003,32.71666666666667,49.9,57.26666666666666
2018-09-01 13:00:00,34.48333333333334,16.05,14.433333333333335,20.666666666666668,20.03333333333333,15.516666666666667,18.4,14.266666666666666,21.666666666666668,22.950000000000003,32.71666666666667,49.9
