,Persistência-1,Persistência-2,Persistência-3,Persistência-4,Persistência-5,Persistência-6,Persistência-7,Persistência-8,Persistência-9,Persistência-10,Persistência-11,Persistência-12
2018-03-01 00:00:00,16.583333333333332,12.316666666666665,12.416666666666666,15.366666666666664,10.533333333333331,11.25,12.55,15.5,27.2,37.95,48.43333333333334,55.53333333333333
2018-03-01 00:30:00,16.566666666666666,16.583333333333332,12.316666666666665,12.416666666666666,15.366666666666664,10.533333333333331,11.25,12.55,15.5,27.2,37.95,48.43333333333334
2018-03-01 01:00:00,23.83333333333333,16.566666666666666,16.583333333333332,12.316666666666665,12.416666666666666,15.366666666666664,10.533333333333331,11.25,12.55,15.5,27.2,37.95
2018-03-01 01:30:00,28.46666666666667,23.83333333333333,16.566666666666666,16.583333333333332,12.316666666666665,12.416666666666666,15.366666666666664,10.533333333333331,11.25,12.55,15.5,27.2
2018-03-01 02:00:00,28.183333333333334,28.46666666666667,23.83333333333333,16.566666666666666,16.583333333333332,12.316666666666665,12.416666666666666,15.366666666666664,10.533333333333331,11.25,12.55,15.5
2018-03-01 02:30:00,24.433333333333334,28.183333333333334,28.46666666666667,23.83333333333333,16.566666666666666,16.583333333333332,12.316666666666665,12.416666666666666,15.366666666666664,10.533333333333331,11.25,12.55
2018-03-01 03:00:00,28.466666666666665,24.433333333333334,28.183333333333334,28.46666666666667,23.83333333333333,16.566666666666666,16.583333333333332,12.316666666666665,12.416666666666666,15.366666666666664,10.533333333333331,11.25
2018-03-01 03:30:00,18.966666666666665,28.466666666666665,24.433333333333334,28.183333333333334,28.46666666666667,23.83333333333333,16.566666666666666,16.583333333333332,12.316666666666665,12.416666666666666,15.366666666666664,10.533333333333331
2018-03-01 04:00:00,15.233333333333333,18.966666666666665,28.466666666666665,24.433333333333334,28.183333333333334,28.46666666666667,23.83333333333333,16.566666666666666,16.583333333333332,12.316666666666665,12.416666666666666,15.366666666666664
2018-03-01 04:30:00,19.53333333333333,15.233333333333333,18.966666666666665,28.466666666666665,24.433333333333334,28.183333333333334,28.46666666666667,23.83333333333333,16.566666666666666,16.583333333333332,12.316666666666665,12.416666666666666
2018-03-01 05:00:00,31.866666666666664,19.53333333333333,15.233333333333333,18.966666666666665,28.466666666666665,24.433333333333334,28.183333333333334,28.46666666666667,23.83333333333333,16.566666666666666,16.583333333333332,12.316666666666665
2018-03-01 05:30:00,23.8,31.866666666666664,19.53333333333333,15.233333333333333,18.966666666666665,28.466666666666665,24.433333333333334,28.183333333333334,28.46666666666667,23.83333333333333,16.566666666666666,16.583333333333332
2018-03-01 06:00:00,19.3,23.8,31.866666666666664,19.53333333333333,15.233333333333333,18.966666666666665,28.466666666666665,24.433333333333334,28.183333333333334,28.46666666666667,23.83333333333333,16.566666666666666
2018-03-01 06:30:00,16.86666666666667,19.3,23.8,31.866666666666664,19.53333333333333,15.233333333333333,18.966666666666665,28.466666666666665,24.433333333333334,28.183333333333334,28.46666666666667,23.83333333333333
2018-03-01 07:00:00,14.166666666666666,16.86666666666667,19.3,23.8,31.866666666666664,19.53333333333333,15.233333333333333,18.966666666666665,28.466666666666665,24.433333333333334,28.183333333333334,28.46666666666667
2018-03-01 07:30:00,10.266666666666666,14.166666666666666,16.86666666666667,19.3,23.8,31.866666666666664,19.53333333333333,15.233333333333333,18.966666666666665,28.466666666666665,24.433333333333334,28.183333333333334
2018-03-01 08:00:00,6.133333333333333,10.266666666666666,14.166666666666666,16.86666666666667,19.3,23.8,31.866666666666664,19.53333333333333,15.233333333333333,18.966666666666665,28.466666666666665,24.433333333333334
2018-03-01 08:30:00,5.916666666666667,6.133333333333333,10.266666666666666,14.166666666666666,16.86666666666667,19.3,23.8,31.866666666666664,19.53333333333333,15.233333333333333,18.966666666666665,28.466666666666665
2018-03-01 09:00:00,10.566666666666668,5.916666666666667,6.133333333333333,10.266666666666666,14.166666666666666,16.86666666666667,19.3,23.8,31.866666666666664,19.53333333333333,15.233333333333333,18.966666666666665
2018-03-01 09:30:00,10.116666666666667,10.566666666666668,5.916666666666667,6.133333333333333,10.266666666666666,14.166666666666666,16.86666666666667,19.3,23.8,31.866666666666664,19.53333333333333,15.233333333333333
2018-03-01 10:00:00,9.15,10.116666666666667,10.566666666666668,5.916666666666667,6.133333333333333,10.266666666666666,14.166666666666666,16.86666666666667,19.3,23.8,31.866666666666664,19.53333333333333
2018-03-01 10:30:00,4.55,9.15,10.116666666666667,10.566666666666668,5.916666666666667,6.133333333333333,10.266666666666666,14.166666666666666,16.86666666666667,19.3,23.8,31.866666666666664
2018-03-01 11:00:00,3.283333333333333,4.55,9.15,10.116666666666667,10.566666666666668,5.916666666666667,6.133333333333333,10.266666666666666,14.166666666666666,16.86666666666667,19.3,23.8
2018-03-01 11:30:00,0.4666666666666666,3.283333333333333,4.55,9.15,10.116666666666667,10.566666666666668,5.916666666666667,6.133333333333333,10.266666666666666,14.166666666666666,16.86666666666667,19.3
2018-03-01 12:00:00,1.4333333333333331,0.4666666666666666,3.283333333333333,4.55,9.15,10.116666666666667,10.566666666666668,5.916666666666667,6.133333333333333,10.266666666666666,14.166666666666666,16.86666666666667
2018-03-01 12:30:00,1.5,1.4333333333333331,0.4666666666666666,3.283333333333333,4.55,9.15,10.116666666666667,10.566666666666668,5.916666666666667,6.133333333333333,10.266666666666666,14.166666666666666
2018-03-01 13:00:00,3.3833333333333333,1.5,1.4333333333333331,0.4666666666666666,3.283333333333333,4.55,9.15,10.116666666666667,10.566666666666668,5.916666666666667,6.133333333333333,10.266666666666666
2018-03-01 13:30:00,1.6666666666666667,3.3833333333333333,1.5,1.4333333333333331,0.4666666666666666,3.283333333333333,4.55,9.15,10.116666666666667,10.566666666666668,5.916666666666667,6.133333333333333
2018-03-01 14:00:00,4.016666666666667,1.6666666666666667,3.3833333333333333,1.5,1.4333333333333331,0.4666666666666666,3.283333333333333,4.55,9.15,10.116666666666667,10.566666666666668,5.916666666666667
2018-03-01 14:30:00,5.6000000000000005,4.016666666666667,1.6666666666666667,3.3833333333333333,1.5,1.4333333333333331,0.4666666666666666,3.283333333333333,4.55,9.15,10.116666666666667,10.566666666666668
2018-03-01 15:00:00,4.85,5.6000000000000005,4.016666666666667,1.6666666666666667,3.3833333333333333,1.5,1.4333333333333331,0.4666666666666666,3.283333333333333,4.55,9.15,10.116666666666667
2018-03-01 15:30:00,6.233333333333333,4.85,5.6000000000000005,4.016666666666667,1.6666666666666667,3.3833333333333333,1.5,1.4333333333333331,0.4666666666666666,3.283333333333333,4.55,9.15
2018-03-01 16:00:00,9.35,6.233333333333333,4.85,5.6000000000000005,4.016666666666667,1.6666666666666667,3.3833333333333333,1.5,1.4333333333333331,0.4666666666666666,3.283333333333333,4.55
2018-03-01 16:30:00,7.649999999999999,9.35,6.233333333333333,4.85,5.6000000000000005,4.016666666666667,1.6666666666666667,3.3833333333333333,1.5,1.4333333333333331,0.4666666666666666,3.283333333333333
2018-03-01 17:00:00,11.166666666666666,7.649999999999999,9.35,6.233333333333333,4.85,5.6000000000000005,4.016666666666667,1.6666666666666667,3.3833333333333333,1.5,1.4333333333333331,0.4666666666666666
2018-03-01 17:30:00,13.15,11.166666666666666,7.649999999999999,9.35,6.233333333333333,4.85,5.6000000000000005,4.016666666666667,1.6666666666666667,3.3833333333333333,1.5,1.4333333333333331
2018-03-01 18:00:00,13.25,13.15,11.166666666666666,7.649999999999999,9.35,6.233333333333333,4.85,5.6000000000000005,4.016666666666667,1.6666666666666667,3.3833333333333333,1.5
2018-03-01 18:30:00,11.749999999999998,13.25,13.15,11.166666666666666,7.649999999999999,9.35,6.233333333333333,4.85,5.6000000000000005,4.016666666666667,1.6666666666666667,3.3833333333333333
2018-03-01 19:00:00,11.283333333333331,11.749999999999998,13.25,13.15,11.166666666666666,7.649999999999999,9.35,6.233333333333333,4.85,5.6000000000000005,4.016666666666667,1.6666666666666667
2018-03-01 19:30:00,14.35,11.283333333333331,11.749999999999998,13.25,13.15,11.166666666666666,7.649999999999999,9.35,6.233333333333333,4.85,5.6000000000000005,4.016666666666667
2018-03-01 20:00:00,12.816666666666668,14.35,11.283333333333331,11.749999999999998,13.25,13.15,11.166666666666666,7.649999999999999,9.35,6.233333333333333,4.85,5.6000000000000005
2018-03-01 20:30:00,15.366666666666664,12.816666666666668,14.35,11.283333333333331,11.749999999999998,13.25,13.15,11.166666666666666,7.649999999999999,9.35,6.233333333333333,4.85
2018-03-01 21:00:00,16.55,15.366666666666664,12.816666666666668,14.35,11.283333333333331,11.749999999999998,13.25,13.15,11.166666666666666,7.649999999999999,9.35,6.233333333333333
2018-03-01 21:30:00,18.78333333333333,16.55,15.366666666666664,12.816666666666668,14.35,11.283333333333331,11.749999999999998,13.25,13.15,11.166666666666666,7.649999999999999,9.35
2018-03-01 22:00:00,19.98333333333333,18.78333333333333,16.55,15.366666666666664,12.816666666666668,14.35,11.283333333333331,11.749999999999998,13.25,13.15,11.166666666666666,7.649999999999999
2018-03-01 22:30:00,18.0,19.98333333333333,18.78333333333333,16.55,15.366666666666664,12.816666666666668,14.35,11.283333333333331,11.749999999999998,13.25,13.15,11.166666666666666
2018-03-01 23:00:00,20.116666666666667,18.0,19.98333333333333,18.78333333333333,16.55,15.366666666666664,12.816666666666668,14.35,11.283333333333331,11.749999999999998,13.25,13.15
2018-03-01 23:30:00,16.666666666666668,20.116666666666667,18.0,19.98333333333333,18.78333333333333,16.55,15.366666666666664,12.816666666666668,14.35,11.283333333333331,11.749999999999998,13.25
2018-03-02 00:00:00,14.1,16.666666666666668,20.116666666666667,18.0,19.98333333333333,18.78333333333333,16.55,15.366666666666664,12.816666666666668,14.35,11.283333333333331,11.749999999999998
2018-03-02 00:30:00,10.6,14.1,16.666666666666668,20.116666666666667,18.0,19.98333333333333,18.78333333333333,16.55,15.366666666666664,12.816666666666668,14.35,11.283333333333331
2018-03-02 01:00:00,13.116666666666667,10.6,14.1,16.666666666666668,20.116666666666667,18.0,19.98333333333333,18.78333333333333,16.55,15.366666666666664,12.816666666666668,14.35
2018-03-02 01:30:00,10.35,13.116666666666667,10.6,14.1,16.666666666666668,20.116666666666667,18.0,19.98333333333333,18.78333333333333,16.55,15.366666666666664,12.816666666666668
2018-03-02 02:00:00,5.4,10.35,13.116666666666667,10.6,14.1,16.666666666666668,20.116666666666667,18.0,19.98333333333333,18.78333333333333,16.55,15.366666666666664
2018-03-02 02:30:00,2.35,5.4,10.35,13.116666666666667,10.6,14.1,16.666666666666668,20.116666666666667,18.0,19.98333333333333,18.78333333333333,16.55
2018-03-02 03:00:00,2.316666666666667,2.35,5.4,10.35,13.116666666666667,10.6,14.1,16.666666666666668,20.116666666666667,18.0,19.98333333333333,18.78333333333333
2018-03-02 03:30:00,1.5666666666666664,2.316666666666667,2.35,5.4,10.35,13.116666666666667,10.6,14.1,16.666666666666668,20.116666666666667,18.0,19.98333333333333
2018-03-02 04:00:00,0.8333333333333334,1.5666666666666664,2.316666666666667,2.35,5.4,10.35,13.116666666666667,10.6,14.1,16.666666666666668,20.116666666666667,18.0
2018-03-02 04:30:00,0.0166666666666666,0.8333333333333334,1.5666666666666664,2.316666666666667,2.35,5.4,10.35,13.116666666666667,10.6,14.1,16.666666666666668,20.116666666666667
2018-03-02 05:00:00,0.2666666666666666,0.0166666666666666,0.8333333333333334,1.5666666666666664,2.316666666666667,2.35,5.4,10.35,13.116666666666667,10.6,14.1,16.666666666666668
2018-03-02 05:30:00,1.7666666666666666,0.2666666666666666,0.0166666666666666,0.8333333333333334,1.5666666666666664,2.316666666666667,2.35,5.4,10.35,13.116666666666667,10.6,14.1
2018-03-02 06:00:00,2.2333333333333334,1.7666666666666666,0.2666666666666666,0.0166666666666666,0.8333333333333334,1.5666666666666664,2.316666666666667,2.35,5.4,10.35,13.116666666666667,10.6
2018-03-02 06:30:00,5.433333333333334,2.2333333333333334,1.7666666666666666,0.2666666666666666,0.0166666666666666,0.8333333333333334,1.5666666666666664,2.316666666666667,2.35,5.4,10.35,13.116666666666667
2018-03-02 07:00:00,9.133333333333333,5.433333333333334,2.2333333333333334,1.7666666666666666,0.2666666666666666,0.0166666666666666,0.8333333333333334,1.5666666666666664,2.316666666666667,2.35,5.4,10.35
2018-03-02 07:30:00,11.666666666666666,9.133333333333333,5.433333333333334,2.2333333333333334,1.7666666666666666,0.2666666666666666,0.0166666666666666,0.8333333333333334,1.5666666666666664,2.316666666666667,2.35,5.4
2018-03-02 08:00:00,5.483333333333333,11.666666666666666,9.133333333333333,5.433333333333334,2.2333333333333334,1.7666666666666666,0.2666666666666666,0.0166666666666666,0.8333333333333334,1.5666666666666664,2.316666666666667,2.35
2018-03-02 08:30:00,3.6666666666666665,5.483333333333333,11.666666666666666,9.133333333333333,5.433333333333334,2.2333333333333334,1.7666666666666666,0.2666666666666666,0.0166666666666666,0.8333333333333334,1.5666666666666664,2.316666666666667
2018-03-02 09:00:00,6.216666666666666,3.6666666666666665,5.483333333333333,11.666666666666666,9.133333333333333,5.433333333333334,2.2333333333333334,1.7666666666666666,0.2666666666666666,0.0166666666666666,0.8333333333333334,1.5666666666666664
2018-03-02 09:30:00,7.3,6.216666666666666,3.6666666666666665,5.483333333333333,11.666666666666666,9.133333333333333,5.433333333333334,2.2333333333333334,1.7666666666666666,0.2666666666666666,0.0166666666666666,0.8333333333333334
2018-03-02 10:00:00,3.3833333333333333,7.3,6.216666666666666,3.6666666666666665,5.483333333333333,11.666666666666666,9.133333333333333,5.433333333333334,2.2333333333333334,1.7666666666666666,0.2666666666666666,0.0166666666666666
2018-03-02 10:30:00,1.1666666666666667,3.3833333333333333,7.3,6.216666666666666,3.6666666666666665,5.483333333333333,11.666666666666666,9.133333333333333,5.433333333333334,2.2333333333333334,1.7666666666666666,0.2666666666666666
