,Persistência-1,Persistência-2,Persistência-3,Persistência-4,Persistência-5,Persistência-6,Persistência-7,Persistência-8,Persistência-9,Persistência-10,Persistência-11,Persistência-12
2018-12-01 00:00:00,55.41666666666666,47.95,34.68333333333333,23.78333333333333,4.816666666666666,4.383333333333333,4.066666666666666,1.8333333333333333,2.95,4.816666666666666,9.533333333333331,11.433333333333332
2018-12-01 00:30:00,66.2,55.41666666666666,47.95,34.68333333333333,23.78333333333333,4.816666666666666,4.383333333333333,4.066666666666666,1.8333333333333333,2.95,4.816666666666666,9.533333333333331
2018-12-01 01:00:00,75.16666666666667,66.2,55.41666666666666,47.95,34.68333333333333,23.78333333333333,4.816666666666666,4.383333333333333,4.066666666666666,1.8333333333333333,2.95,4.816666666666666
2018-12-01 01:30:00,78.68333333333332,75.16666666666667,66.2,55.41666666666666,47.95,34.68333333333333,23.78333333333333,4.816666666666666,4.383333333333333,4.066666666666666,1.8333333333333333,2.95
2018-12-01 02:00:00,98.08333333333331,78.68333333333332,75.16666666666667,66.2,55.41666666666666,47.95,34.68333333333333,23.78333333333333,4.816666666666666,4.383333333333333,4.066666666666666,1.8333333333333333
2018-12-01 02:30:00,87.26666666666667,98.08333333333331,78.68333333333332,75.16666666666667,66.2,55.41666666666666,47.95,34.68333333333333,23.78333333333333,4.816666666666666,4.383333333333333,4.066666666666666
2018-12-01 03:00:00,81.38333333333334,87.26666666666667,98.08333333333331,78.68333333333332,75.16666666666667,66.2,55.41666666666666,47.95,34.68333333333333,23.78333333333333,4.816666666666666,4.383333333333333
2018-12-01 03:30:00,88.05,81.38333333333334,87.26666666666667,98.08333333333331,78.68333333333332,75.16666666666667,66.2,55.41666666666666,47.95,34.68333333333333,23.78333333333333,4.816666666666666
2018-12-01 04:00:00,112.05,88.05,81.38333333333334,87.26666666666667,98.08333333333331,78.68333333333332,75.16666666666667,66.2,55.41666666666666,47.95,34.68333333333333,23.78333333333333
2018-12-01 04:30:00,118.08333333333331,112.05,88.05,81.38333333333334,87.26666666666667,98.08333333333331,78.68333333333332,75.16666666666667,66.2,55.41666666666666,47.95,34.68333333333333
2018-12-01 05:00:00,109.58333333333331,118.08333333333331,112.05,88.05,81.38333333333334,87.26666666666667,98.08333333333331,78.68333333333332,75.16666666666667,66.2,55.41666666666666,47.95
2018-12-01 05:30:00,104.78333333333336,109.58333333333331,118.08333333333331,112.05,88.05,81.38333333333334,87.26666666666667,98.08333333333331,78.68333333333332,75.16666666666667,66.2,55.41666666666666
2018-12-01 06:00:00,105.76666666666664,104.78333333333336,109.58333333333331,118.08333333333331,112.05,88.05,81.38333333333334,87.26666666666667,98.08333333333331,78.68333333333332,75.16666666666667,66.2
2018-12-01 06:30:00,104.05,105.76666666666664,104.78333333333336,109.58333333333331,118.08333333333331,112.05,88.05,81.38333333333334,87.26666666666667,98.08333333333331,78.68333333333332,75.16666666666667
2018-12-01 07:00:00,74.8,104.05,105.76666666666664,104.78333333333336,109.58333333333331,118.08333333333331,112.05,88.05,81.38333333333334,87.26666666666667,98.08333333333331,78.68333333333332
2018-12-01 07:30:00,78.83333333333333,74.8,104.05,105.76666666666664,104.78333333333336,109.58333333333331,118.08333333333331,112.05,88.05,81.38333333333334,87.26666666666667,98.08333333333331
2018-12-01 08:00:00,88.80000000000001,78.83333333333333,74.8,104.05,105.76666666666664,104.78333333333336,109.58333333333331,118.08333333333331,112.05,88.05,81.38333333333334,87.26666666666667
2018-12-01 08:30:00,70.26666666666667,88.80000000000001,78.83333333333333,74.8,104.05,105.76666666666664,104.78333333333336,109.58333333333331,118.08333333333331,112.05,88.05,81.38333333333334
2018-12-01 09:00:00,63.71666666666667,70.26666666666667,88.80000000000001,78.83333333333333,74.8,104.05,105.76666666666664,104.78333333333336,109.58333333333331,118.08333333333331,112.05,88.05
2018-12-01 09:30:00,73.3,63.71666666666667,70.26666666666667,88.80000000000001,78.83333333333333,74.8,104.05,105.76666666666664,104.78333333333336,109.58333333333331,118.08333333333331,112.05
2018-12-01 10:00:00,83.25,73.3,63.71666666666667,70.26666666666667,88.80000000000001,78.83333333333333,74.8,104.05,105.76666666666664,104.78333333333336,109.58333333333331,118.08333333333331
2018-12-01 10:30:00,93.63333333333334,83.25,73.3,63.71666666666667,70.26666666666667,88.80000000000001,78.83333333333333,74.8,104.05,105.76666666666664,104.78333333333336,109.58333333333331
2018-12-01 11:00:00,93.13333333333333,93.63333333333334,83.25,73.3,63.71666666666667,70.26666666666667,88.80000000000001,78.83333333333333,74.8,104.05,105.76666666666664,104.78333333333336
2018-12-01 11:30:00,92.66666666666669,93.13333333333333,93.63333333333334,83.25,73.3,63.71666666666667,70.26666666666667,88.80000000000001,78.83333333333333,74.8,104.05,105.76666666666664
2018-12-01 12:00:00,92.4,92.66666666666669,93.13333333333333,93.63333333333334,83.25,73.3,63.71666666666667,70.26666666666667,88.80000000000001,78.83333333333333,74.8,104.05
2018-12-01 12:30:00,94.0,92.4,92.66666666666669,93.13333333333333,93.63333333333334,83.25,73.3,63.71666666666667,70.26666666666667,88.80000000000001,78.83333333333333,74.8
2018-12-01 13:00:00,98.31666666666668,94.0,92.4,92.66666666666669,93.13333333333333,93.63333333333334,83.25,73.3,63.71666666666667,70.26666666666667,88.80000000000001,78.83333333333333
2018-12-01 13:30:00,109.65,98.31666666666668,94.0,92.4,92.66666666666669,93.13333333333333,93.63333333333334,83.25,73.3,63.71666666666667,70.26666666666667,88.80000000000001
