,HDWF2
2018-01-01,24.32198581560284
2018-01-02,47.206250000000004
2018-01-03,22.42986111111111
2018-01-04,39.5875
2018-01-05,19.722222222222225
2018-01-06,45.49027777777778
2018-01-07,30.43715277777778
2018-01-08,21.226388888888888
2018-01-09,36.33402777777778
2018-01-10,41.01284722222223
2018-01-11,45.486805555555556
2018-01-12,31.54895833333333
2018-01-13,56.42083333333333
2018-01-14,36.05416666666667
2018-01-15,24.925
2018-01-16,51.46979166666667
2018-01-17,31.579513888888886
2018-01-18,38.373958333333334
2018-01-19,34.02777777777778
2018-01-20,44.793749999999996
2018-01-21,40.048611111111114
2018-01-22,25.19027777777778
2018-01-23,16.415972222222223
2018-01-24,28.512416666666667
2018-01-25,25.134027777777778
2018-01-26,44.92395833333333
2018-01-27,33.313541666666666
2018-01-28,60.20173611111111
2018-01-29,45.294444444444444
2018-01-30,62.475
2018-01-31,68.81979166666666
2018-02-01,40.80555555555555
2018-02-02,43.89340277777777
2018-02-03,43.62951388888889
2018-02-04,20.73576388888889
2018-02-05,22.288194444444443
2018-02-06,37.717708333333334
2018-02-07,33.937152777777776
2018-02-08,46.926736111111104
2018-02-09,26.382638888888888
2018-02-10,38.44201388888889
2018-02-11,25.13229166666667
2018-02-12,14.918750000000001
2018-02-13,12.948263888888889
2018-02-14,35.10243055555556
2018-02-15,18.920597222222224
2018-02-16,16.273263888888888
2018-02-17,25.474305555555556
2018-02-18,48.82152777777778
2018-02-19,41.497569444444444
2018-02-20,36.450694444444444
2018-02-21,49.70902777777778
2018-02-22,67.70173611111112
2018-02-23,86.53923611111111
2018-02-24,50.78784722222222
2018-02-25,25.610069444444445
2018-02-26,24.124305555555555
2018-02-27,39.93159722222222
2018-02-28,59.59444444444444
2018-03-01,35.155208333333334
2018-03-02,26.653819444444448
2018-03-03,21.559027777777775
2018-03-04,39.67638888888889
2018-03-05,48.69201388888889
2018-03-06,71.24236111111111
2018-03-07,73.14479166666666
2018-03-08,56.21076388888889
2018-03-09,43.861111111111114
2018-03-10,25.01076388888889
2018-03-11,39.27986111111111
2018-03-12,28.788541666666664
2018-03-13,39.502430555555556
2018-03-14,20.740277777777777
2018-03-15,11.457986111111111
2018-03-16,47.14270833333333
2018-03-17,74.540625
2018-03-18,53.341319444444444
2018-03-19,25.016666666666666
2018-03-20,31.394444444444446
2018-03-21,55.174305555555556
2018-03-22,23.191666666666666
2018-03-23,35.89930555555556
2018-03-24,67.60347222222222
2018-03-25,63.874652777777776
2018-03-26,28.237847222222225
2018-03-27,60.17256944444444
2018-03-28,29.470833333333335
2018-03-29,12.552777777777777
2018-03-30,18.924305555555556
2018-03-31,29.745833333333334
2018-04-01,17.82777777777778
2018-04-02,27.01805555555556
2018-04-03,28.148263888888888
2018-04-04,30.611805555555552
2018-04-05,14.042708333333332
2018-04-06,31.890625
2018-04-07,39.57430555555556
2018-04-08,37.453125
2018-04-09,56.06805555555556
2018-04-10,46.34652777777777
2018-04-11,66.21215277777777
2018-04-12,19.24548611111111
2018-04-13,44.645486111111104
2018-04-14,77.87152777777779
2018-04-15,63.69895833333333
2018-04-16,35.09097222222222
2018-04-17,36.94965277777778
2018-04-18,34.74305555555556
2018-04-19,22.84826388888889
2018-04-20,36.558680555555554
2018-04-21,20.54826388888889
2018-04-22,22.48436458333333
2018-04-23,60.138888888888886
2018-04-24,12.286111111111111
2018-04-25,7.272222222222222
2018-04-26,16.746875
2018-04-27,41.35868055555556
2018-04-28,29.993055555555557
2018-04-29,52.07847222222222
2018-04-30,44.00902777777778
2018-05-01,38.721875000000004
2018-05-02,53.32048611111111
2018-05-03,60.15486111111111
2018-05-04,55.24201388888889
2018-05-05,1.3496527777777778
2018-05-06,28.311111111111114
2018-05-07,59.65590277777778
2018-05-08,4.953125
2018-05-09,16.5625
2018-05-10,73.56840277777778
2018-05-11,67.78472222222221
2018-05-12,42.14652777777778
2018-05-13,13.885763888888889
2018-05-14,13.251041666666666
2018-05-15,19.37986111111111
2018-05-16,47.04583333333333
2018-05-17,29.080555555555552
2018-05-18,17.07361111111111
2018-05-19,4.372569444444444
2018-05-20,5.825694444444444
2018-05-21,30.778125000000003
2018-05-22,31.585763888888888
2018-05-23,5.425347222222222
2018-05-24,48.37222222222223
2018-05-25,66.48368055555555
2018-05-26,87.6545138888889
2018-05-27,76.52881944444444
2018-05-28,85.01840277777778
2018-05-29,82.14236111111111
2018-05-30,29.34548611111111
2018-05-31,19.75
2018-06-01,36.277430555555554
2018-06-02,11.412847222222224
2018-06-03,6.733333333333333
2018-06-04,5.9006944444444445
2018-06-05,23.194791666666664
