,BOCORWF1
2018-01-01,15.904078014184398
2018-01-02,29.33295138888889
2018-01-03,17.01732638888889
2018-01-04,7.576180555555555
2018-01-05,17.3596875
2018-01-06,50.18434027777778
2018-01-07,43.95249999999999
2018-01-08,70.43527777777778
2018-01-09,71.42777777777778
2018-01-10,15.825208333333334
2018-01-11,13.7596875
2018-01-12,51.37190972222222
2018-01-13,48.584201388888886
2018-01-14,76.86902777777777
2018-01-15,47.79611111111111
2018-01-16,38.927881944444444
2018-01-17,4.652638888888888
2018-01-18,10.555833333333334
2018-01-19,24.510381944444443
2018-01-20,34.3065625
2018-01-21,54.8034375
2018-01-22,46.088541666666664
2018-01-23,60.7928125
2018-01-24,67.17222222222223
2018-01-25,13.401111111111112
2018-01-26,21.161215277777778
2018-01-27,16.488125
2018-01-28,56.134097222222216
2018-01-29,62.92579861111111
2018-01-30,33.08642361111111
2018-01-31,58.35493055555556
2018-02-01,5.657361111111111
2018-02-02,13.341909722222221
2018-02-03,11.395173611111112
2018-02-04,2.880763888888889
2018-02-05,10.18767361111111
2018-02-06,20.460208333333334
2018-02-07,31.0703125
2018-02-08,60.962465277777774
2018-02-09,3.5025694444444446
2018-02-10,34.96534722222222
2018-02-11,20.33826388888889
2018-02-12,14.018333333333333
2018-02-13,35.03965277777778
2018-02-14,68.218125
2018-02-15,55.59569444444444
2018-02-16,20.70510416666667
2018-02-17,31.662152777777777
2018-02-18,16.704270833333336
2018-02-19,49.19243055555555
2018-02-20,19.086423611111112
2018-02-21,12.065729166666666
2018-02-22,17.662430555555556
2018-02-23,28.66465277777778
2018-02-24,80.70180555555557
2018-02-25,47.93833333333333
2018-02-26,26.395937500000002
2018-02-27,7.001493055555556
2018-02-28,84.6240625
2018-03-01,39.73815972222222
2018-03-02,4.115486111111111
2018-03-03,27.241006944444447
2018-03-04,18.189538194444445
2018-03-05,23.07715277777778
2018-03-06,17.486006944444444
2018-03-07,15.052534722222221
2018-03-08,11.164791666666668
2018-03-09,6.0540625
2018-03-10,4.656770833333334
2018-03-11,15.266041666666666
2018-03-12,17.007395833333334
2018-03-13,10.587743055555556
2018-03-14,29.7284375
2018-03-15,19.063402777777778
2018-03-16,35.29958333333333
2018-03-17,48.24131944444445
2018-03-18,49.75232638888889
2018-03-19,61.32722222222222
2018-03-20,36.0195
2018-03-21,57.07701388888889
2018-03-22,26.962395833333332
2018-03-23,37.178159722222226
2018-03-24,67.76611111111112
2018-03-25,88.77829861111111
2018-03-26,87.14048611111112
2018-03-27,33.36059027777778
2018-03-28,30.687256944444442
2018-03-29,23.2878125
2018-03-30,26.495
2018-03-31,30.52927083333333
2018-04-01,38.347881944444445
2018-04-02,44.33680555555555
2018-04-03,1.8554166666666667
2018-04-04,8.771631944444445
2018-04-05,39.464687500000004
2018-04-06,8.471493055555555
2018-04-07,22.879305555555558
2018-04-08,37.710138888888885
2018-04-09,45.05430555555555
2018-04-10,21.844930555555553
2018-04-11,47.90621527777778
2018-04-12,99.63472222222224
2018-04-13,96.51684027777777
2018-04-14,77.35166666666667
2018-04-15,94.89361111111111
2018-04-16,87.3098611111111
2018-04-17,9.161666666666667
2018-04-18,29.921180555555555
2018-04-19,8.4715625
2018-04-20,4.672743055555555
2018-04-21,6.5796874999999995
2018-04-22,10.280381944444445
2018-04-23,4.574965277777777
2018-04-24,6.177812499999999
2018-04-25,2.432638888888889
2018-04-26,16.85857638888889
2018-04-27,14.298100694444443
2018-04-28,1.595798611111111
2018-04-29,6.848298611111111
2018-04-30,5.317673611111111
2018-05-01,15.280138888888887
2018-05-02,49.46458333333334
2018-05-03,96.56093750000001
2018-05-04,97.71614583333333
2018-05-05,40.57208333333333
2018-05-06,14.826354166666667
2018-05-07,93.89013888888888
2018-05-08,38.55753472222222
2018-05-09,73.88135416666667
2018-05-10,84.35434027777778
2018-05-11,63.46465277777778
2018-05-12,98.34756944444445
2018-05-13,80.09461805555556
2018-05-14,9.444479166666666
2018-05-15,20.28701388888889
2018-05-16,11.453784722222222
2018-05-17,3.9880208333333336
2018-05-18,21.314756944444444
2018-05-19,7.904340277777777
2018-05-20,50.4765625
2018-05-21,83.75177083333334
2018-05-22,83.22944444444444
2018-05-23,25.643541666666668
2018-05-24,18.9946875
2018-05-25,7.2228125
2018-05-26,7.885138888888889
2018-05-27,2.9846874999999997
2018-05-28,15.705625
2018-05-29,74.10114583333333
2018-05-30,26.063194444444445
2018-05-31,80.21402777777777
2018-06-01,56.85711805555556
2018-06-02,56.45149305555555
2018-06-03,5.005069444444445
2018-06-04,10.444097222222222
2018-06-05,5.058958333333333
2018-06-06,25.081770833333334
2018-06-07,93.25586805555555
2018-06-08,81.06975694444445
2018-06-09,4.448159722222223
2018-06-10,1.8982638888888888
2018-06-11,16.28875
2018-06-12,98.03038194444444
2018-06-13,90.32680555555555
2018-06-14,99.74951388888888
2018-06-15,104.72569444444444
2018-06-16,98.18770833333333
2018-06-17,95.86447916666667
2018-06-18,87.28274305555556
2018-06-19,34.996770833333336
2018-06-20,3.5593749999999997
2018-06-21,0.3119097222222222
2018-06-22,0.47934027777777777
2018-06-23,16.769201388888888
2018-06-24,58.597951388888895
2018-06-25,3.2184375
2018-06-26,17.968229166666667
2018-06-27,31.98232638888889
2018-06-28,18.764930555555555
2018-06-29,23.58118055555556
2018-06-30,97.13260416666667
2018-07-01,10.570104166666667
2018-07-02,14.551875
2018-07-03,62.50177083333333
2018-07-04,69.81305555555555
2018-07-05,90.52993055555555
2018-07-06,98.04163194444443
2018-07-07,104.79031250000001
