,WATERLWF
2018-01-01,21.373758865248227
2018-01-02,32.59027777777778
2018-01-03,14.78125
2018-01-04,16.715972222222224
2018-01-05,15.590625000000001
2018-01-06,59.19027777777777
2018-01-07,18.342361111111114
2018-01-08,21.570833333333336
2018-01-09,21.867708333333336
2018-01-10,36.69375
2018-01-11,40.07118055555556
2018-01-12,68.20416666666667
2018-01-13,88.98923611111111
2018-01-14,31.56736111111111
2018-01-15,42.046527777777776
2018-01-16,43.161458333333336
2018-01-17,21.205208333333335
2018-01-18,22.694444444444443
2018-01-19,52.35659722222223
2018-01-20,28.242708333333336
2018-01-21,32.106249999999996
2018-01-22,13.871875000000001
2018-01-23,19.606944444444444
2018-01-24,20.99093402777778
2018-01-25,14.578125
2018-01-26,28.697222222222223
2018-01-27,28.53368055555556
2018-01-28,52.307291666666664
2018-01-29,22.66111111111111
2018-01-30,86.30833333333334
2018-01-31,90.34305555555557
2018-02-01,62.01493055555556
2018-02-02,65.27152777777778
2018-02-03,68.01215277777779
2018-02-04,26.097916666666666
2018-02-05,18.580208333333335
2018-02-06,12.671180555555557
2018-02-07,19.585416666666667
2018-02-08,41.922222222222224
2018-02-09,43.359375
2018-02-10,37.40416666666666
2018-02-11,16.028472222222224
2018-02-12,6.413541666666667
2018-02-13,11.511805555555556
2018-02-14,60.834375
2018-02-15,16.954166666666666
2018-02-16,4.667361111111111
2018-02-17,8.815625
2018-02-18,34.76284722222222
2018-02-19,49.05902777777778
2018-02-20,41.16909722222222
2018-02-21,29.753125
2018-02-22,47.45659722222222
2018-02-23,83.81111111111112
2018-02-24,64.86145833333333
2018-02-25,23.253819444444446
2018-02-26,24.600694444444443
2018-02-27,39.74305555555556
2018-02-28,81.30590277777777
2018-03-01,31.197569444444444
2018-03-02,17.81597222222222
2018-03-03,16.37534722222222
2018-03-04,19.85451388888889
2018-03-05,45.059374999999996
2018-03-06,87.31458333333335
2018-03-07,66.83229166666668
2018-03-08,52.79270833333334
2018-03-09,56.79409722222223
2018-03-10,16.435416666666665
2018-03-11,15.293750000000001
2018-03-12,49.545138888888886
2018-03-13,46.231944444444444
2018-03-14,18.591666666666665
2018-03-15,4.093055555555556
2018-03-16,38.559374999999996
2018-03-17,77.33993055555555
2018-03-18,81.76701388888888
2018-03-19,57.12689583333333
2018-03-20,45.527430555555554
2018-03-21,46.588541666666664
2018-03-22,22.303472222222226
2018-03-23,34.97430555555555
2018-03-24,87.54273958333333
2018-03-25,111.32187499999999
2018-03-26,25.68923611111111
2018-03-27,48.284375000000004
2018-03-28,49.784375000000004
2018-03-29,10.644444444444444
2018-03-30,13.862499999999999
2018-03-31,13.25
2018-04-01,41.92534722222222
2018-04-02,11.426041666666668
2018-04-03,13.81111111111111
2018-04-04,21.785069444444446
2018-04-05,6.8625
2018-04-06,22.345138888888886
2018-04-07,30.202083333333334
2018-04-08,54.25833333333333
2018-04-09,73.953125
2018-04-10,51.25104166666666
2018-04-11,77.04652777777777
2018-04-12,35.236805555555556
2018-04-13,76.85659722222222
2018-04-14,83.62465277777777
2018-04-15,93.24756944444444
2018-04-16,64.07777777777778
2018-04-17,26.13576388888889
2018-04-18,24.927083333333332
2018-04-19,29.52951388888889
2018-04-20,32.85208333333333
2018-04-21,23.12465277777778
2018-04-22,26.472222222222225
2018-04-23,81.88402777777777
2018-04-24,16.380555555555556
2018-04-25,8.319791666666667
2018-04-26,6.879166666666666
2018-04-27,25.46666666666667
2018-04-28,22.733333333333334
2018-04-29,31.175694444444446
2018-04-30,25.33020833333333
2018-05-01,28.929166666666664
2018-05-02,69.31145833333333
2018-05-03,101.56145833333333
2018-05-04,89.30243055555555
2018-05-05,13.505902777777777
2018-05-06,11.830902777777778
2018-05-07,71.03541666666666
2018-05-08,2.670833333333333
2018-05-09,38.668055555555554
2018-05-10,82.70432638888889
2018-05-11,53.17534722222222
2018-05-12,29.072701388888888
2018-05-13,15.416319444444445
2018-05-14,10.478472222222221
2018-05-15,21.35367361111111
2018-05-16,52.85902777777778
2018-05-17,18.115972222222222
2018-05-18,14.138496527777777
2018-05-19,6.173611111111111
2018-05-20,19.37951388888889
2018-05-21,79.29722222222222
2018-05-22,36.346180555555556
2018-05-23,4.165277777777778
2018-05-24,35.62152777777778
2018-05-25,65.42256944444445
2018-05-26,71.7
2018-05-27,49.83368055555556
2018-05-28,107.67951388888889
2018-05-29,113.28159722222222
2018-05-30,78.56909722222223
2018-05-31,18.59861111111111
2018-06-01,38.794444444444444
2018-06-02,8.250347222222222
2018-06-03,3.057986111111111
2018-06-04,6.371180555555555
2018-06-05,18.014930555555555
2018-06-06,62.831250000000004
2018-06-07,93.46006944444444
2018-06-08,74.02291666666666
2018-06-09,4.907986111111112
2018-06-10,49.96006944444445
2018-06-11,85.58437500000001
2018-06-12,76.44340277777778
2018-06-13,99.36319444444445
2018-06-14,99.48125
2018-06-15,102.04930555555556
2018-06-16,105.19861111111112
2018-06-17,58.52708333333333
2018-06-18,4.101388888888889
2018-06-19,16.939930555555556
