,GULLRWF1
2018-01-01,10.45731914893617
2018-01-02,35.72535416666667
2018-01-03,40.70927430555555
2018-01-04,17.861583333333332
2018-01-05,20.07639236111111
2018-01-06,42.894024305555554
2018-01-07,80.40183333333333
2018-01-08,68.01151388888889
2018-01-09,41.572138888888894
2018-01-10,44.12768055555555
2018-01-11,22.621368055555553
2018-01-12,35.392781250000006
2018-01-13,113.67078125
2018-01-14,58.04600694444445
2018-01-15,39.003569444444445
2018-01-16,44.97183680555556
2018-01-17,22.37527777777778
2018-01-18,9.0448125
2018-01-19,26.547295138888888
2018-01-20,41.02676041666667
2018-01-21,32.889041666666664
2018-01-22,60.00251388888889
2018-01-23,40.566552083333335
2018-01-24,25.085392361111108
2018-01-25,15.215239583333334
2018-01-26,14.422166666666667
2018-01-27,24.62884027777778
2018-01-28,37.01697569444445
2018-01-29,30.838180555555557
2018-01-30,30.118458333333333
2018-01-31,49.670722222222224
2018-02-01,61.03024305555556
2018-02-02,33.42659027777778
2018-02-03,56.79223263888889
2018-02-04,26.447392361111113
2018-02-05,21.061041666666668
2018-02-06,24.308027777777777
2018-02-07,21.504166666666666
2018-02-08,32.54892013888889
2018-02-09,32.96473958333333
2018-02-10,14.84771875
2018-02-11,78.99085069444445
2018-02-12,24.416642361111112
2018-02-13,22.431
2018-02-14,92.39885416666668
2018-02-15,53.69980555555555
2018-02-16,55.693083333333334
2018-02-17,17.437145833333332
2018-02-18,11.865229166666666
2018-02-19,91.27014930555555
2018-02-20,125.81042013888889
2018-02-21,42.346222222222224
2018-02-22,18.604010416666664
2018-02-23,19.272121527777777
2018-02-24,70.978375
2018-02-25,85.16807986111111
2018-02-26,102.58585069444445
2018-02-27,37.98411458333333
2018-02-28,78.40744791666667
2018-03-01,33.06150347222222
2018-03-02,25.60247916666667
2018-03-03,14.957440972222223
2018-03-04,23.25327777777778
2018-03-05,48.868711805555556
2018-03-06,112.17413888888889
2018-03-07,86.83509027777778
2018-03-08,52.391135416666664
2018-03-09,60.84233333333333
2018-03-10,21.284479166666667
2018-03-11,12.543326388888888
2018-03-12,30.47186111111111
2018-03-13,50.76081597222222
2018-03-14,21.159746527777777
2018-03-15,64.07942708333333
2018-03-16,31.11934722222222
2018-03-17,25.379975694444443
2018-03-18,111.97942708333333
2018-03-19,67.54210416666668
2018-03-20,77.38155555555555
2018-03-21,143.66040972222223
2018-03-22,119.76385069444444
2018-03-23,68.22529861111111
2018-03-24,47.209354166666664
2018-03-25,130.5729861111111
2018-03-26,123.32560763888888
2018-03-27,15.201315972222224
2018-03-28,22.680177083333334
2018-03-29,7.148993055555555
2018-03-30,38.477291666666666
2018-03-31,24.531885416666665
2018-04-01,55.550482638888894
2018-04-02,37.37509027777778
2018-04-03,37.34725347222222
2018-04-04,16.42354166666667
2018-04-05,12.37067361111111
2018-04-06,24.285583333333335
2018-04-07,43.971187500000006
2018-04-08,45.295500000000004
2018-04-09,61.05187847222222
2018-04-10,9.220236111111111
2018-04-11,2.7165972222222226
2018-04-12,104.62197222222223
2018-04-13,117.95563194444445
2018-04-14,151.43168055555554
2018-04-15,150.2756423611111
2018-04-16,118.59551388888889
2018-04-17,29.680690972222223
2018-04-18,33.25347569444445
2018-04-19,14.421086805555555
2018-04-20,7.523277777777778
2018-04-21,18.511489583333333
2018-04-22,10.243836805555555
2018-04-23,2.0406215277777777
2018-04-24,2.1493819444444444
2018-04-25,9.3340625
2018-04-26,30.96298611111111
2018-04-27,34.29388888888889
2018-04-28,25.22260069444444
2018-04-29,9.335506944444445
2018-04-30,8.749840277777777
2018-05-01,6.9277291666666665
2018-05-02,29.097628472222222
2018-05-03,61.24779166666667
2018-05-04,134.08835069444444
2018-05-05,62.98578472222223
2018-05-06,10.936437500000002
2018-05-07,68.14892361111112
2018-05-08,49.24492361111111
2018-05-09,53.39142708333333
2018-05-10,128.54610416666665
2018-05-11,145.19041666666666
2018-05-12,121.68030208333333
2018-05-13,51.3585
2018-05-14,26.298381944444444
2018-05-15,25.269125000000003
2018-05-16,16.435993055555556
2018-05-17,41.701597222222226
2018-05-18,63.369263888888895
2018-05-19,33.261270833333334
2018-05-20,117.81940277777778
2018-05-21,129.61135069444444
2018-05-22,118.51712152777777
2018-05-23,40.94527430555556
2018-05-24,15.487166666666667
2018-05-25,26.76698958333333
2018-05-26,5.029388888888889
2018-05-27,1.2308229166666667
2018-05-28,14.617822916666666
2018-05-29,85.67447916666667
2018-05-30,68.3045625
2018-05-31,60.278357638888885
2018-06-01,43.39783333333333
2018-06-02,32.844368055555556
2018-06-03,22.904920138888887
2018-06-04,9.703034722222222
2018-06-05,41.99256597222222
2018-06-06,60.915024305555555
2018-06-07,49.98433680555556
2018-06-08,98.64956597222222
2018-06-09,21.705187499999997
2018-06-10,38.08082986111111
2018-06-11,23.364006944444444
2018-06-12,74.45556597222223
2018-06-13,88.4297361111111
2018-06-14,105.9264236111111
2018-06-15,153.20553819444444
2018-06-16,134.3550659722222
2018-06-17,142.43577777777776
2018-06-18,57.55733680555556
2018-06-19,51.50746180555556
2018-06-20,32.10429861111111
2018-06-21,3.309548611111111
2018-06-22,21.982993055555553
2018-06-23,63.991892361111105
2018-06-24,4.230305555555556
2018-06-25,8.401149305555556
2018-06-26,25.812854166666668
2018-06-27,25.677631944444443
2018-06-28,23.231715277777777
2018-06-29,68.00595833333334
2018-06-30,136.17302430555557
2018-07-01,24.845020833333333
2018-07-02,30.93362847222222
2018-07-03,10.921732638888889
2018-07-04,38.90090277777778
2018-07-05,115.5945
2018-07-06,154.3861388888889
