,WRWF1
2018-01-01,26.18514893617021
2018-01-02,54.32479861111111
2018-01-03,49.74257291666667
2018-01-04,34.63865277777778
2018-01-05,24.73720833333333
2018-01-06,12.66684375
2018-01-07,16.878027777777778
2018-01-08,15.223204861111112
2018-01-09,13.682243055555555
2018-01-10,58.45461805555556
2018-01-11,32.05286805555556
2018-01-12,15.016274305555555
2018-01-13,67.37686805555556
2018-01-14,83.70086458333333
2018-01-15,46.976163194444446
2018-01-16,35.86534375
2018-01-17,31.00851388888889
2018-01-18,26.19909027777778
2018-01-19,40.443718749999995
2018-01-20,50.356822916666665
2018-01-21,61.755409722222225
2018-01-22,34.03783680555556
2018-01-23,41.93484375
2018-01-24,43.478288194444445
2018-01-25,22.52525
2018-01-26,20.17786111111111
2018-01-27,50.06527083333333
2018-01-28,105.210625
2018-01-29,109.36774305555555
2018-01-30,38.913350694444446
2018-01-31,19.469368055555556
2018-02-01,81.88287847222223
2018-02-02,98.48652777777778
2018-02-03,131.2060972222222
2018-02-04,127.1993125
2018-02-05,75.85466319444444
2018-02-06,91.00323611111111
2018-02-07,83.78274652777777
2018-02-08,68.36017361111111
2018-02-09,27.78222222222222
2018-02-10,35.13042708333334
2018-02-11,24.405034722222222
2018-02-12,44.81582291666667
2018-02-13,45.79689930555556
2018-02-14,57.82715972222223
2018-02-15,42.469722222222224
2018-02-16,42.07152083333333
2018-02-17,96.96176736111111
2018-02-18,41.52895138888889
2018-02-19,48.41076041666667
2018-02-20,133.53090277777778
2018-02-21,134.3014861111111
2018-02-22,118.60817708333333
2018-02-23,108.76199305555555
2018-02-24,33.648888888888884
2018-02-25,17.2414375
2018-02-26,46.67170486111112
2018-02-27,83.13967361111112
2018-02-28,22.201795138888887
2018-03-01,13.86546875
2018-03-02,46.10431944444445
2018-03-03,22.237239583333334
2018-03-04,15.891274305555555
2018-03-05,28.62964236111111
2018-03-06,133.04434722222223
2018-03-07,152.31710763888887
2018-03-08,137.74599652777778
2018-03-09,122.90815277777779
2018-03-10,92.63096527777778
2018-03-11,69.17321875
2018-03-12,35.96384027777778
2018-03-13,71.88994097222222
2018-03-14,124.08900347222222
2018-03-15,56.61619791666667
2018-03-16,15.971173611111112
2018-03-17,11.433364583333335
2018-03-18,2.648798611111111
2018-03-19,26.231194444444444
2018-03-20,66.20345833333333
2018-03-21,156.4064409722222
2018-03-22,136.25568055555556
2018-03-23,138.37793055555554
2018-03-24,65.81174652777777
2018-03-25,13.479760416666666
2018-03-26,32.59464583333333
2018-03-27,75.97982986111111
2018-03-28,64.9512326388889
2018-03-29,96.31551736111112
2018-03-30,42.86066666666667
2018-03-31,83.65801041666667
2018-04-01,68.89883680555555
2018-04-02,26.703701388888888
2018-04-03,92.93363194444446
2018-04-04,126.48205902777778
2018-04-05,115.09843402777778
2018-04-06,92.29005208333332
2018-04-07,102.30945833333334
2018-04-08,50.34170833333334
2018-04-09,11.846420138888888
2018-04-10,39.39953472222222
2018-04-11,91.33798263888889
2018-04-12,23.586194444444445
2018-04-13,31.87626388888889
2018-04-14,73.959875
2018-04-15,126.60821875
2018-04-16,52.98854513888889
2018-04-17,48.16386458333333
2018-04-18,128.0170173611111
2018-04-19,49.704874999999994
2018-04-20,18.219684027777777
2018-04-21,74.8785451388889
2018-04-22,65.04897222222222
2018-04-23,61.94831249999999
2018-04-24,47.822420138888894
2018-04-25,16.05848263888889
2018-04-26,28.446774305555554
2018-04-27,69.89624305555556
2018-04-28,106.49965277777778
2018-04-29,66.2933263888889
2018-04-30,58.54635416666667
2018-05-01,87.03030902777778
2018-05-02,34.32103472222222
2018-05-03,3.016909722222222
2018-05-04,54.69396180555555
2018-05-05,39.229284722222225
2018-05-06,105.61987152777778
2018-05-07,98.1114513888889
2018-05-08,14.866746527777778
2018-05-09,24.882368055555556
2018-05-10,94.31751041666666
2018-05-11,138.79034027777777
2018-05-12,153.01116666666667
2018-05-13,37.458156249999995
2018-05-14,53.79695486111111
2018-05-15,6.1466875
2018-05-16,37.50686805555556
2018-05-17,11.00042013888889
2018-05-18,18.046680555555557
2018-05-19,11.57742013888889
2018-05-20,29.350409722222224
2018-05-21,54.64083680555556
2018-05-22,64.80475694444443
2018-05-23,28.790253472222222
2018-05-24,8.256673611111111
2018-05-25,69.5390173611111
2018-05-26,80.2297048611111
2018-05-27,73.7448888888889
2018-05-28,41.73286805555556
2018-05-29,9.566201388888889
2018-05-30,76.91460069444445
2018-05-31,101.3250138888889
2018-06-01,59.83534027777778
2018-06-02,61.59214583333334
2018-06-03,42.64142361111111
2018-06-04,19.422229166666664
2018-06-05,61.58732986111111
2018-06-06,155.86416666666665
2018-06-07,154.74635069444443
2018-06-08,54.00652430555556
2018-06-09,12.211125000000001
2018-06-10,26.303055555555556
2018-06-11,17.195541666666667
2018-06-12,32.83884722222222
2018-06-13,80.28755208333332
2018-06-14,98.61471527777779
2018-06-15,118.58703125
2018-06-16,130.86092013888887
2018-06-17,143.60488194444443
2018-06-18,115.455375
2018-06-19,78.14882638888889
2018-06-20,72.43014930555556
2018-06-21,64.53131597222222
2018-06-22,11.980173611111113
2018-06-23,9.91423611111111
2018-06-24,7.683385416666667
2018-06-25,32.93507291666667
2018-06-26,88.1569513888889
2018-06-27,111.65734375
2018-06-28,27.149524305555556
2018-06-29,11.749736111111112
2018-06-30,34.77672916666666
2018-07-01,13.314284722222224
2018-07-02,70.7511701388889
2018-07-03,91.2248576388889
2018-07-04,134.68465625000002
2018-07-05,66.77814930555556
2018-07-06,108.20427430555556
2018-07-07,117.41400347222223
