,SNOWNTH1
2018-01-01,28.153900709219858
2018-01-02,40.11597222222222
2018-01-03,47.63784722222223
2018-01-04,28.487152777777776
2018-01-05,11.831944444444446
2018-01-06,97.00138888888888
2018-01-07,67.89131944444445
2018-01-08,46.830555555555556
2018-01-09,63.54270833333334
2018-01-10,27.773958333333336
2018-01-11,37.09791666666667
2018-01-12,52.19375
2018-01-13,94.28402777777778
2018-01-14,74.68085416666666
2018-01-15,72.87395833333333
2018-01-16,58.77326388888889
2018-01-17,25.28298611111111
2018-01-18,47.33958333333334
2018-01-19,77.45868055555556
2018-01-20,56.99861111111111
2018-01-21,48.018750000000004
2018-01-22,55.83263888888889
2018-01-23,83.70347222222222
2018-01-24,65.6002361111111
2018-01-25,47.38090277777778
2018-01-26,27.80763888888889
2018-01-27,25.222569444444446
2018-01-28,66.42534722222221
2018-01-29,77.24062500000001
2018-01-30,133.9
2018-01-31,128.97395833333334
2018-02-01,91.23020833333334
2018-02-02,74.72951388888889
2018-02-03,64.984375
2018-02-04,39.28611111111111
2018-02-05,41.41493055555555
2018-02-06,35.50208333333333
2018-02-07,24.225347222222222
2018-02-08,49.816319444444446
2018-02-09,24.360069444444445
2018-02-10,27.286805555555556
2018-02-11,64.36319444444445
2018-02-12,39.69027777777778
2018-02-13,14.073611111111111
2018-02-14,40.51909722222222
2018-02-15,22.467708333333334
2018-02-16,21.625694444444445
2018-02-17,24.378819444444446
2018-02-18,39.59826388888889
2018-02-19,92.63298611111111
2018-02-20,46.856944444444444
2018-02-21,33.81736111111111
2018-02-22,40.810069444444444
2018-02-23,108.91897222222222
2018-02-24,44.86388888888889
2018-02-25,72.19722222222222
2018-02-26,33.95104166666667
2018-02-27,71.84375
2018-02-28,67.39131944444445
2018-03-01,64.62673611111111
2018-03-02,25.31006944444444
2018-03-03,49.237500000000004
2018-03-04,67.07118055555556
2018-03-05,112.25520833333333
2018-03-06,108.91597222222221
2018-03-07,79.6920138888889
2018-03-08,44.73541666666667
2018-03-09,44.42881944444445
2018-03-10,43.19965277777778
2018-03-11,68.81423611111111
2018-03-12,112.98090277777777
2018-03-13,100.76458333333333
2018-03-14,36.22361111111111
2018-03-15,13.645138888888889
2018-03-16,31.25277777777778
2018-03-17,96.98750000000001
2018-03-18,64.25
2018-03-19,18.716666666666665
2018-03-20,75.43506944444444
2018-03-21,56.829861111111114
2018-03-22,20.679166666666667
2018-03-23,34.453472222222224
2018-03-24,96.92048611111112
2018-03-25,99.00208333333335
2018-03-26,40.153819444444444
2018-03-27,88.18194444444445
2018-03-28,36.57727777777777
2018-03-29,13.52465277777778
2018-03-30,18.130902777777777
2018-03-31,8.419791666666667
2018-04-01,19.507291666666667
2018-04-02,66.80729166666667
2018-04-03,57.70243055555556
2018-04-04,23.170833333333334
2018-04-05,20.40590277777778
2018-04-06,23.858680555555555
2018-04-07,20.560416666666665
2018-04-08,59.84965277777778
2018-04-09,90.453125
2018-04-10,79.41041666666666
2018-04-11,96.058375
2018-04-12,22.863194444444446
2018-04-13,72.07986111111111
2018-04-14,105.40173611111112
2018-04-15,91.75937499999999
2018-04-16,33.24444444444445
2018-04-17,25.604166666666668
2018-04-18,26.525347222222223
2018-04-19,22.599305555555556
2018-04-20,39.844791666666666
2018-04-21,35.359027777777776
2018-04-22,28.162152777777777
2018-04-23,87.70277777777778
2018-04-24,22.802777777777777
2018-04-25,13.858333333333333
2018-04-26,32.69583333333333
2018-04-27,21.611805555555552
2018-04-28,35.16180555555555
2018-04-29,40.95763888888889
2018-04-30,13.17986111111111
2018-05-01,45.135763888888896
2018-05-02,97.6892361111111
2018-05-03,107.83194444444445
2018-05-04,58.43090277777778
2018-05-05,1.2125
2018-05-06,18.91875
2018-05-07,80.76076388888889
2018-05-08,6.9468749999999995
2018-05-09,24.474652777777777
2018-05-10,91.45381944444445
2018-05-11,97.02465277777777
2018-05-12,69.95833333333333
2018-05-13,50.38506944444444
2018-05-14,3.514583333333333
2018-05-15,34.854166666666664
2018-05-16,70.48333333333333
2018-05-17,23.47986111111111
2018-05-18,15.234027777777778
2018-05-19,8.176041666666666
2018-05-20,3.551736111111111
2018-05-21,16.772222222222222
2018-05-22,7.445833333333333
2018-05-23,14.407986111111112
2018-05-24,29.509027777777778
2018-05-25,33.521875
2018-05-26,90.17326388888888
2018-05-27,80.87847222222221
2018-05-28,107.07326388888889
2018-05-29,86.30902777777777
2018-05-30,17.764236111111114
2018-05-31,9.856250000000001
2018-06-01,25.662847222222222
2018-06-02,6.419444444444444
2018-06-03,4.123611111111111
2018-06-04,7.250694444444444
2018-06-05,22.059375
2018-06-06,51.31597222222222
2018-06-07,98.90104166666667
2018-06-08,80.15138888888889
2018-06-09,0.3961805555555556
2018-06-10,43.78472222222222
2018-06-11,103.18506944444444
2018-06-12,81.14722222222223
2018-06-13,99.76597222222222
2018-06-14,106.09791666666666
2018-06-15,90.71006944444444
2018-06-16,91.6701388888889
2018-06-17,69.13576388888889
2018-06-18,5.984375
2018-06-19,61.265625
2018-06-20,42.32256944444445
2018-06-21,0.5906250000000001
2018-06-22,10.04375
2018-06-23,4.797916666666667
2018-06-24,14.658333333333333
2018-06-25,11.888194444444444
2018-06-26,15.036458333333334
2018-06-27,2.0277777777777777
2018-06-28,42.50729166666667
2018-06-29,116.66666666666667
2018-06-30,15.884375
2018-07-01,2.055902777777778
2018-07-02,56.44409722222222
2018-07-03,128.22256944444445
2018-07-04,113.10034722222223
2018-07-05,109.48368055555557
2018-07-06,100.73819444444445
2018-07-07,88.99062500000001
