,NBHWF1
2018-01-01,29.068439716312056
2018-01-02,45.50798611111111
2018-01-03,31.847569444444446
2018-01-04,42.671875
2018-01-05,30.964583333333334
2018-01-06,72.57673611111112
2018-01-07,45.79027777777778
2018-01-08,28.86111111111111
2018-01-09,49.17847222222222
2018-01-10,54.246180555555554
2018-01-11,62.89166666666667
2018-01-12,58.99895833333334
2018-01-13,84.95694444444445
2018-01-14,58.97777777777778
2018-01-15,59.893055555555556
2018-01-16,48.98090277777778
2018-01-17,37.794444444444444
2018-01-18,47.93402777777778
2018-01-19,50.442708333333336
2018-01-20,61.60520833333333
2018-01-21,55.638888888888886
2018-01-22,25.789930555555557
2018-01-23,16.371875
2018-01-24,48.68079861111111
2018-01-25,42.307291666666664
2018-01-26,52.23298611111111
2018-01-27,42.18958333333333
2018-01-28,75.18020833333334
2018-01-29,47.553125
2018-01-30,106.24965277777778
2018-01-31,95.72152777777778
2018-02-01,68.52395833333334
2018-02-02,71.65902777777778
2018-02-03,40.880208333333336
2018-02-04,13.768749999999999
2018-02-05,16.886805555555558
2018-02-06,35.45173611111111
2018-02-07,30.286805555555556
2018-02-08,62.71875
2018-02-09,39.86631944444444
2018-02-10,50.697916666666664
2018-02-11,22.793402777777775
2018-02-12,14.577083333333334
2018-02-13,12.950000000000001
2018-02-14,46.04826388888889
2018-02-15,21.438541666666666
2018-02-16,14.237499999999999
2018-02-17,27.33923611111111
2018-02-18,60.89965277777778
2018-02-19,57.44652777777778
2018-02-20,52.17048611111111
2018-02-21,54.95763888888889
2018-02-22,75.06284722222223
2018-02-23,106.19444444444444
2018-02-24,64.434375
2018-02-25,24.42673611111111
2018-02-26,38.057291666666664
2018-02-27,55.81354166666667
2018-02-28,87.72152777777778
2018-03-01,53.863194444444446
2018-03-02,28.944444444444443
2018-03-03,22.900000000000002
2018-03-04,57.082986111111104
2018-03-05,71.14270833333333
2018-03-06,106.796875
2018-03-07,96.86145833333335
2018-03-08,56.734722222222224
2018-03-09,76.42222222222223
2018-03-10,52.44201388888889
2018-03-11,52.001736111111114
2018-03-12,48.36770833333333
2018-03-13,52.98854166666666
2018-03-14,25.139236111111114
2018-03-15,7.926736111111111
2018-03-16,57.385416666666664
2018-03-17,95.69861111111112
2018-03-18,66.21736111111112
2018-03-19,44.36388888888889
2018-03-20,45.74270833333333
2018-03-21,56.442708333333336
2018-03-22,21.22454513888889
2018-03-23,33.14826388888889
2018-03-24,97.50972222222221
2018-03-25,111.809375
2018-03-26,33.22326388888889
2018-03-27,75.44756944444444
2018-03-28,41.29201388888889
2018-03-29,11.020486111111111
2018-03-30,16.12951388888889
2018-03-31,26.71597222222222
2018-04-01,33.98263888888889
2018-04-02,33.75138888888889
2018-04-03,36.61701388888889
2018-04-04,38.39965277777778
2018-04-05,8.516666666666667
2018-04-06,41.78055555555556
2018-04-07,34.192708333333336
2018-04-08,54.62361111111111
2018-04-09,70.29618055555555
2018-04-10,55.421527777777776
2018-04-11,88.12569444444445
2018-04-12,15.46215277777778
2018-04-13,30.748958333333334
2018-04-14,98.02118055555555
2018-04-15,98.52743055555555
2018-04-16,57.280902777777776
2018-04-17,46.77291666666667
2018-04-18,38.02291666666667
2018-04-19,38.14722222222222
2018-04-20,50.41319444444445
2018-04-21,21.411805555555556
2018-04-22,28.55173611111111
2018-04-23,90.85555555555555
2018-04-24,19.610069444444445
2018-04-25,6.39375
2018-04-26,12.910416666666668
2018-04-27,38.13784722222222
2018-04-28,31.134722222222223
2018-04-29,64.34583333333333
2018-04-30,46.70208333333333
2018-05-01,55.78055555555556
2018-05-02,77.17118055555555
2018-05-03,85.94270833333333
2018-05-04,78.65243055555555
2018-05-05,0.6788194444444445
2018-05-06,34.589930555555554
2018-05-07,76.87638888888888
2018-05-08,4.702430555555556
2018-05-09,36.83923611111111
2018-05-10,91.08576388888889
2018-05-11,69.84409722222222
2018-05-12,64.83611111111111
2018-05-13,28.68923611111111
2018-05-14,16.241666666666667
2018-05-15,33.65
2018-05-16,59.075694444444444
2018-05-17,41.05625
2018-05-18,15.049652777777778
2018-05-19,3.3913194444444446
2018-05-20,6.8694444444444445
2018-05-21,61.03125
2018-05-22,35.98159722222223
2018-05-23,5.623263888888889
2018-05-24,70.85659722222222
2018-05-25,91.63576388888889
2018-05-26,108.46180555555556
2018-05-27,97.54652777777778
2018-05-28,101.3263888888889
2018-05-29,114.51249999999999
2018-05-30,43.67881944444445
2018-05-31,20.81215277777778
2018-06-01,53.70451388888889
2018-06-02,11.736805555555556
2018-06-03,8.04513888888889
2018-06-04,6.811458333333333
2018-06-05,29.87256944444444
2018-06-06,81.37013888888889
2018-06-07,100.24791666666665
2018-06-08,64.68472222222222
2018-06-09,8.702430555555557
2018-06-10,70.27361111111111
2018-06-11,100.39861111111111
2018-06-12,74.52222222222223
2018-06-13,90.34305555555557
2018-06-14,97.89791666666667
2018-06-15,99.76770833333335
2018-06-16,104.72361111111111
2018-06-17,66.02326388888889
2018-06-18,12.688194444444443
2018-06-19,27.104857638888888
2018-06-20,26.670486111111114
2018-06-21,1.6888888888888889
2018-06-22,9.830208333333333
2018-06-23,1.132986111111111
2018-06-24,20.93784722222222
2018-06-25,34.11840277777778
2018-06-26,31.149652777777778
2018-06-27,1.1458333333333337
2018-06-28,18.844791666666666
2018-06-29,100.7013888888889
2018-06-30,23.27916666666667
2018-07-01,7.967708333333333
2018-07-02,53.36597222222222
2018-07-03,106.33229166666666
2018-07-04,97.38611111111112
2018-07-05,92.70694444444445
2018-07-06,90.93020833333333
2018-07-07,95.0
