,MERCER01
2018-01-01,16.16835106382979
2018-01-02,23.41497222222222
2018-01-03,14.596649305555557
2018-01-04,8.428486111111111
2018-01-05,17.051354166666666
2018-01-06,82.56928125
2018-01-07,13.833128472222223
2018-01-08,10.258947916666667
2018-01-09,26.812361111111112
2018-01-10,21.450288194444443
2018-01-11,13.210902777777777
2018-01-12,51.772343750000005
2018-01-13,48.08726736111112
2018-01-14,18.877597222222224
2018-01-15,25.374881944444443
2018-01-16,30.347177083333335
2018-01-17,17.11778125
2018-01-18,62.242937500000004
2018-01-19,61.18633333333333
2018-01-20,27.776520833333333
2018-01-21,22.785357638888886
2018-01-22,8.733777777777778
2018-01-23,12.78588888888889
2018-01-24,21.28613888888889
2018-01-25,25.52411111111111
2018-01-26,16.93490625
2018-01-27,20.800663194444443
2018-01-28,62.672111111111114
2018-01-29,44.27491666666666
2018-01-30,52.25048958333334
2018-01-31,67.18032291666667
2018-02-01,29.792163194444445
2018-02-02,23.190972222222225
2018-02-03,46.311135416666666
2018-02-04,17.48959375
2018-02-05,21.909302083333333
2018-02-06,21.439524305555555
2018-02-07,17.549472222222224
2018-02-08,13.391600694444444
2018-02-09,17.995979166666668
2018-02-10,81.20266666666667
2018-02-11,21.850475694444444
2018-02-12,11.447625
2018-02-13,8.632447916666667
2018-02-14,90.55423611111111
2018-02-15,59.91325694444444
2018-02-16,21.056364583333334
2018-02-17,14.930878472222224
2018-02-18,20.58010416666667
2018-02-19,87.58058680555557
2018-02-20,49.092225694444444
2018-02-21,46.19394444444444
2018-02-22,25.58284375
2018-02-23,60.71146527777778
2018-02-24,66.20596180555556
2018-02-25,63.79369097222223
2018-02-26,33.090322916666665
2018-02-27,56.592656250000005
2018-02-28,97.66790625
2018-03-01,24.859232638888887
2018-03-02,12.70342013888889
2018-03-03,58.32244444444444
2018-03-04,12.9988125
2018-03-05,32.29623611111111
2018-03-06,40.36836805555556
2018-03-07,19.04348611111111
2018-03-08,19.16003125
2018-03-09,16.202868055555555
2018-03-10,17.196427083333333
2018-03-11,17.726927083333333
2018-03-12,30.219947916666666
2018-03-13,14.690708333333333
2018-03-14,4.908413194444445
2018-03-15,4.708461805555555
2018-03-16,11.745697916666666
2018-03-17,98.628375
2018-03-18,81.61634722222222
2018-03-19,73.49929166666666
2018-03-20,55.43980555555556
2018-03-21,90.3791875
2018-03-22,20.383343749999998
2018-03-23,50.67676736111111
2018-03-24,53.124027777777776
2018-03-25,113.07238541666668
2018-03-26,83.05820833333333
2018-03-27,34.19655902777778
2018-03-28,64.961625
2018-03-29,4.7719756944444445
2018-03-30,41.50602083333333
2018-03-31,5.744878472222222
2018-04-01,20.988944444444446
2018-04-02,26.339447916666668
2018-04-03,4.647138888888889
2018-04-04,10.053809027777778
2018-04-05,5.236815972222222
2018-04-06,8.660517361111111
2018-04-07,6.66403125
2018-04-08,72.92438541666667
2018-04-09,12.992163194444444
2018-04-10,68.48907986111111
2018-04-11,23.445180555555556
2018-04-12,64.87900694444444
2018-04-13,69.16940277777778
2018-04-14,108.41404513888888
2018-04-15,104.63548263888889
2018-04-16,81.45748263888889
2018-04-17,15.174354166666667
2018-04-18,19.24921527777778
2018-04-19,6.9972465277777784
2018-04-20,12.12032638888889
2018-04-21,10.175784722222222
2018-04-22,3.0550729166666666
2018-04-23,22.75249652777778
2018-04-24,56.21430555555556
2018-04-25,8.297836805555557
2018-04-26,29.367756944444448
2018-04-27,14.670534722222222
2018-04-28,20.74979513888889
2018-04-29,4.381322916666667
2018-04-30,-0.0582986111111111
2018-05-01,23.57512847222222
2018-05-02,33.66458333333333
2018-05-03,86.90829513888889
2018-05-04,90.28896180555556
2018-05-05,73.27621180555555
2018-05-06,45.64880208333333
2018-05-07,102.71030555555556
2018-05-08,2.6937916666666673
2018-05-09,47.87371180555556
2018-05-10,64.71820138888889
2018-05-11,94.72753124999998
2018-05-12,51.033239583333334
2018-05-13,10.752725694444445
2018-05-14,2.414138888888889
2018-05-15,21.032493055555555
2018-05-16,10.191975694444444
2018-05-17,46.32527430555555
2018-05-18,41.33185069444445
2018-05-19,31.40374652777778
2018-05-20,100.62037152777778
2018-05-21,85.64562847222221
2018-05-22,67.8946875
2018-05-23,23.954875
2018-05-24,10.8665625
2018-05-25,6.226996527777778
2018-05-26,14.733371527777777
2018-05-27,73.01256944444445
2018-05-28,82.106875
2018-05-29,53.69586111111111
2018-05-30,72.13026388888889
2018-05-31,34.850531249999996
2018-06-01,11.128503472222222
2018-06-02,17.229232638888888
2018-06-03,11.208402777777778
2018-06-04,3.3800208333333335
2018-06-05,7.615253472222222
2018-06-06,30.07094097222222
2018-06-07,107.00876736111111
2018-06-08,91.55094791666666
2018-06-09,10.432010416666666
2018-06-10,13.4703125
2018-06-11,80.65427430555556
2018-06-12,92.80123611111111
2018-06-13,68.68343402777778
2018-06-14,72.1633125
2018-06-15,91.67122569444444
2018-06-16,93.86118750000001
2018-06-17,94.06751388888888
2018-06-18,16.110864583333335
2018-06-19,25.01364236111111
2018-06-20,39.66997222222222
2018-06-21,12.238760416666667
2018-06-22,14.089267361111112
2018-06-23,33.91620486111111
2018-06-24,4.919059027777778
2018-06-25,1.9475138888888888
2018-06-26,3.240836805555556
2018-06-27,2.9096805555555556
2018-06-28,12.228177083333334
2018-06-29,98.46796875
2018-06-30,82.46872222222223
2018-07-01,15.112121527777779
2018-07-02,33.517947916666664
2018-07-03,113.50230902777777
2018-07-04,99.89878819444444
2018-07-05,107.79435763888888
2018-07-06,95.22290625
2018-07-07,116.27318055555556
