,KIATAWF1
2018-01-01,15.013120567375887
2018-01-02,19.636458333333334
2018-01-03,13.288194444444445
2018-01-04,5.997222222222223
2018-01-05,3.1666666666666665
2018-01-06,13.531944444444443
2018-01-07,4.685069444444444
2018-01-08,6.820138888888889
2018-01-09,14.634375
2018-01-10,8.261111111111111
2018-01-11,2.2645416666666667
2018-01-12,15.827777777777778
2018-01-13,22.31736111111111
2018-01-14,19.240625
2018-01-15,17.837847222222223
2018-01-16,10.595833333333333
2018-01-17,8.330555555555556
2018-01-18,12.095833333333333
2018-01-19,10.12864236111111
2018-01-20,13.829861111111112
2018-01-21,5.4750000000000005
2018-01-22,10.165625
2018-01-23,13.857638888888888
2018-01-24,6.532725694444444
2018-01-25,12.255902777777777
2018-01-26,10.028819444444444
2018-01-27,4.439583333333333
2018-01-28,11.139583333333333
2018-01-29,20.22048611111111
2018-01-30,25.559722222222224
2018-01-31,24.524652777777778
2018-02-01,21.614930555555556
2018-02-02,13.987847222222221
2018-02-03,18.68402777777778
2018-02-04,12.377430555555556
2018-02-05,17.779861111111114
2018-02-06,11.36875
2018-02-07,11.215034722222223
2018-02-08,7.8194444444444455
2018-02-09,2.748375
2018-02-10,19.306250000000002
2018-02-11,12.729861111111111
2018-02-12,9.408680555555556
2018-02-13,8.6875
2018-02-14,25.249305555555555
2018-02-15,14.808680555555554
2018-02-16,8.305208333333333
2018-02-17,5.695138888888889
2018-02-18,9.676736111111111
2018-02-19,17.718038194444443
2018-02-20,13.537847222222224
2018-02-21,12.376041666666666
2018-02-22,15.735381944444443
2018-02-23,21.283333333333335
2018-02-24,16.504399305555555
2018-02-25,25.173263888888886
2018-02-26,7.676041666666666
2018-02-27,19.26909722222222
2018-02-28,27.30142013888889
2018-03-01,10.213888888888889
2018-03-02,5.829861111111111
2018-03-03,15.695625
2018-03-04,15.260069444444445
2018-03-05,24.50034722222222
2018-03-06,17.845072916666666
2018-03-07,15.031777777777778
2018-03-08,5.074652777777778
2018-03-09,7.343055555555556
2018-03-10,6.195138888888889
2018-03-11,13.803819444444445
2018-03-12,23.302777777777777
2018-03-13,20.35715625
2018-03-14,13.744097222222223
2018-03-15,10.948958333333332
2018-03-16,10.105208333333334
2018-03-17,19.20659722222222
2018-03-18,25.905208333333334
2018-03-19,21.368402777777778
2018-03-20,20.171180555555555
2018-03-21,22.046902777777778
2018-03-22,26.512152777777775
2018-03-23,23.114930555555556
2018-03-24,11.346874999999999
2018-03-25,21.98472222222222
2018-03-26,19.65659722222222
2018-03-27,11.020864583333333
2018-03-28,18.049652777777776
2018-03-29,15.5375
2018-03-30,18.065625
2018-03-31,3.913888888888889
2018-04-01,9.270833333333334
2018-04-02,17.176041666666666
2018-04-03,10.430555555555555
2018-04-04,7.730555555555555
2018-04-05,6.619791666666667
2018-04-06,8.647916666666667
2018-04-07,6.137847222222223
2018-04-08,21.877430555555552
2018-04-09,1.8423611111111111
2018-04-10,9.358215277777777
2018-04-11,13.677083333333334
2018-04-12,21.620833333333334
2018-04-13,20.28159722222222
2018-04-14,19.351041666666667
2018-04-15,24.703819444444445
2018-04-16,23.781944444444445
2018-04-17,8.493055555555555
2018-04-18,6.554166666666667
2018-04-19,3.2937499999999997
2018-04-20,9.102972222222222
2018-04-21,7.1350694444444445
2018-04-22,4.009722222222222
2018-04-23,7.640972222222222
2018-04-24,13.740277777777777
2018-04-25,7.602083333333333
2018-04-26,13.329166666666666
2018-04-27,6.516666666666667
2018-04-28,11.20451388888889
2018-04-29,6.8649305555555555
2018-04-30,2.18125
2018-05-01,9.715277777777777
2018-05-02,14.668055555555556
2018-05-03,17.514236111111114
2018-05-04,25.91076388888889
2018-05-05,21.333680555555556
2018-05-06,7.526041666666667
2018-05-07,27.071180555555557
2018-05-08,1.984375
2018-05-09,12.74340277777778
2018-05-10,25.82534722222222
2018-05-11,25.73194444444444
2018-05-12,23.043055555555554
2018-05-13,17.928819444444446
2018-05-14,6.151736111111112
2018-05-15,12.544097222222222
2018-05-16,12.790972222222223
2018-05-17,9.69548611111111
2018-05-18,12.443055555555555
2018-05-19,5.034027777777777
2018-05-20,18.70277777777778
2018-05-21,24.595184027777776
2018-05-22,15.188128472222223
2018-05-23,5.388541666666666
2018-05-24,6.998263888888889
2018-05-25,1.7249999999999999
2018-05-26,16.0875
2018-05-27,18.386805555555554
2018-05-28,18.941319444444442
2018-05-29,11.701736111111112
2018-05-30,22.376388888888886
2018-05-31,13.340625000000001
2018-06-01,5.487152777777777
2018-06-02,0.37256944444444445
2018-06-03,3.8118055555555554
2018-06-04,9.360416666666667
2018-06-05,8.747260416666666
2018-06-06,24.405375000000003
2018-06-07,28.352430555555557
2018-06-08,15.467833333333333
2018-06-09,1.1743055555555555
2018-06-10,5.078472222222222
2018-06-11,23.89513888888889
2018-06-12,21.657638888888886
2018-06-13,21.17222222222222
2018-06-14,29.52048611111111
2018-06-15,28.37291666666667
2018-06-16,23.045041666666666
2018-06-17,27.20520833333333
2018-06-18,13.944097222222224
2018-06-19,6.0100694444444445
2018-06-20,7.113888888888888
2018-06-21,0.0357638888888889
2018-06-22,1.1399305555555557
2018-06-23,6.7555555555555555
2018-06-24,5.435763888888889
2018-06-25,1.8820833333333333
2018-06-26,3.1743784722222226
2018-06-27,3.49375
2018-06-28,0.9909722222222221
2018-06-29,26.735069444444445
2018-06-30,15.910763888888889
2018-07-01,0.27152777777777776
2018-07-02,10.77326388888889
2018-07-03,27.118750000000002
2018-07-04,27.6875
2018-07-05,26.23157986111111
2018-07-06,28.300694444444446
