,SNOWTWN1
2018-01-01,17.925705673758866
2018-01-02,25.424635416666664
2018-01-03,35.31105208333333
2018-01-04,26.025489583333336
2018-01-05,12.520309027777778
2018-01-06,4.647892361111111
2018-01-07,14.627447916666666
2018-01-08,32.99794444444444
2018-01-09,44.92842361111111
2018-01-10,33.08714583333333
2018-01-11,34.19057638888889
2018-01-12,39.48586458333333
2018-01-13,68.84663194444444
2018-01-14,50.460520833333334
2018-01-15,57.69612847222222
2018-01-16,54.84349305555556
2018-01-17,29.212652777777777
2018-01-18,37.56517708333333
2018-01-19,41.77089930555555
2018-01-20,24.839510416666666
2018-01-21,38.83577777777778
2018-01-22,35.04587152777778
2018-01-23,61.41798958333334
2018-01-24,47.19745486111111
2018-01-25,32.86368402777778
2018-01-26,32.993621527777776
2018-01-27,27.326315972222222
2018-01-28,59.47102430555555
2018-01-29,51.3899375
2018-01-30,88.34890277777778
2018-01-31,87.73115625000001
2018-02-01,74.19946180555556
2018-02-02,58.97947569444444
2018-02-03,49.68011805555556
2018-02-04,32.51258333333333
2018-02-05,36.10344444444444
2018-02-06,35.249541666666666
2018-02-07,24.903385416666666
2018-02-08,41.51471875
2018-02-09,26.639538194444444
2018-02-10,15.392309027777777
2018-02-11,44.70221180555556
2018-02-12,33.3615
2018-02-13,11.859704861111112
2018-02-14,29.103520833333334
2018-02-15,16.031989583333335
2018-02-16,12.465906250000002
2018-02-17,18.636197916666667
2018-02-18,38.91699305555556
2018-02-19,74.71575694444444
2018-02-20,44.615774305555554
2018-02-21,29.353069444444444
2018-02-22,42.52686805555556
2018-02-23,78.14728472222222
2018-02-24,31.152322916666666
2018-02-25,51.226416666666665
2018-02-26,34.75892708333333
2018-02-27,60.94807638888889
2018-02-28,46.83681597222222
2018-03-01,57.230927083333334
2018-03-02,26.148475694444443
2018-03-03,29.863500000000002
2018-03-04,51.087069444444445
2018-03-05,81.00864236111111
2018-03-06,79.7559826388889
2018-03-07,61.04135416666667
2018-03-08,42.023753472222225
2018-03-09,42.86187152777777
2018-03-10,35.52851041666667
2018-03-11,28.880565972222225
2018-03-12,83.41642361111111
2018-03-13,73.05522222222223
2018-03-14,30.29228125
2018-03-15,9.962597222222223
2018-03-16,27.131958333333333
2018-03-17,66.40399652777778
2018-03-18,45.279079861111114
2018-03-19,17.096229166666667
2018-03-20,55.248954861111116
2018-03-21,50.97505208333333
2018-03-22,18.688416666666665
2018-03-23,35.427819444444445
2018-03-24,71.29579166666666
2018-03-25,76.21709375
2018-03-26,29.783263888888886
2018-03-27,77.3434236111111
2018-03-28,26.815159722222223
2018-03-29,8.823986111111111
2018-03-30,11.677177083333333
2018-03-31,9.213236111111112
2018-04-01,15.197104166666668
2018-04-02,44.27375694444444
2018-04-03,55.13650347222222
2018-04-04,28.25293402777778
2018-04-05,13.992645833333333
2018-04-06,25.949756944444445
2018-04-07,21.87946875
2018-04-08,55.14143055555556
2018-04-09,30.259180555555556
2018-04-10,61.32492361111111
2018-04-11,68.66875
2018-04-12,16.807854166666665
2018-04-13,53.330618055555554
2018-04-14,72.33242013888889
2018-04-15,70.88501388888889
2018-04-16,28.636690972222222
2018-04-17,25.739322916666666
2018-04-18,29.224902777777775
2018-04-19,23.043555555555557
2018-04-20,29.201999999999998
2018-04-21,25.937614583333332
2018-04-22,29.86457638888889
2018-04-23,69.55788194444445
2018-04-24,20.537520833333335
2018-04-25,11.5105
2018-04-26,25.49098263888889
2018-04-27,27.781875
2018-04-28,33.568000000000005
2018-04-29,35.20916666666667
2018-04-30,17.298034722222223
2018-05-01,41.94686458333333
2018-05-02,79.85895833333333
2018-05-03,82.55094097222222
2018-05-04,33.92384027777778
2018-05-05,-0.4880173611111111
2018-05-06,16.599958333333333
2018-05-07,58.3579375
2018-05-08,4.519402777777778
2018-05-09,21.65284027777778
2018-05-10,65.29172916666667
2018-05-11,66.25368402777778
2018-05-12,48.02594097222222
2018-05-13,41.15229166666666
2018-05-14,14.513041666666666
2018-05-15,31.631350694444446
2018-05-16,58.082781250000004
2018-05-17,16.942847222222223
2018-05-18,9.410104166666667
2018-05-19,5.9585034722222225
2018-05-20,2.2108784722222223
2018-05-21,13.856559027777777
2018-05-22,3.4567916666666663
2018-05-23,8.70184375
2018-05-24,29.63218402777778
2018-05-25,34.50253125
2018-05-26,69.84652777777778
2018-05-27,66.2285
2018-05-28,85.66554166666667
2018-05-29,66.84068402777778
2018-05-30,19.3979375
2018-05-31,11.139520833333334
2018-06-01,27.360934027777777
2018-06-02,2.413104166666667
2018-06-03,3.3720625
2018-06-04,6.6262743055555555
2018-06-05,32.23820138888889
2018-06-06,50.034315972222224
2018-06-07,74.97960069444444
2018-06-08,70.03597569444445
2018-06-09,-0.42537847222222225
2018-06-10,40.88029513888889
2018-06-11,75.09919444444445
2018-06-12,57.53513541666667
2018-06-13,53.14338541666667
2018-06-14,76.55961458333333
2018-06-15,67.81491319444444
2018-06-16,61.62577777777778
2018-06-17,51.95792361111111
2018-06-18,3.3241319444444444
2018-06-19,52.90399652777777
2018-06-20,43.910597222222215
2018-06-21,-0.19995138888888886
2018-06-22,7.990225694444445
2018-06-23,2.5089826388888885
2018-06-24,15.792298611111113
2018-06-25,18.410753472222222
2018-06-26,21.178538194444446
2018-06-27,1.3987118055555559
2018-06-28,35.57206597222223
2018-06-29,79.91444444444444
2018-06-30,10.044850694444445
2018-07-01,0.5729305555555556
2018-07-02,44.40101041666667
2018-07-03,82.64957291666667
2018-07-04,75.87446874999999
2018-07-05,75.49056944444445
2018-07-06,69.25454513888889
