,HALLWF1
2018-01-01,20.15659574468085
2018-01-02,27.47017361111111
2018-01-03,21.211076388888888
2018-01-04,19.08791666666667
2018-01-05,12.3746875
2018-01-06,47.529687499999994
2018-01-07,23.503715277777776
2018-01-08,20.783680555555556
2018-01-09,30.71399305555556
2018-01-10,25.030416666666667
2018-01-11,38.56597222222222
2018-01-12,42.24940972222222
2018-01-13,64.91086805555555
2018-01-14,47.464930555555554
2018-01-15,50.374270833333334
2018-01-16,27.59642361111111
2018-01-17,18.660625
2018-01-18,30.158749999999998
2018-01-19,34.65826388888889
2018-01-20,33.08090277777778
2018-01-21,24.291631944444443
2018-01-22,13.776458333333332
2018-01-23,9.042777777777777
2018-01-24,20.94582638888889
2018-01-25,21.351493055555554
2018-01-26,27.615069444444444
2018-01-27,20.914513888888887
2018-01-28,44.37690972222222
2018-01-29,27.690729166666667
2018-01-30,74.17326388888888
2018-01-31,73.36194444444445
2018-02-01,44.608402777777776
2018-02-02,54.48899305555556
2018-02-03,29.479930555555555
2018-02-04,8.414895833333334
2018-02-05,8.886770833333333
2018-02-06,12.993611111111113
2018-02-07,14.137430555555556
2018-02-08,36.90368055555555
2018-02-09,29.51847222222222
2018-02-10,35.765347222222225
2018-02-11,15.023506944444444
2018-02-12,11.935034722222222
2018-02-13,9.585277777777778
2018-02-14,42.28861111111111
2018-02-15,18.833229166666666
2018-02-16,10.253645833333334
2018-02-17,14.788159722222224
2018-02-18,35.70871527777778
2018-02-19,38.93951388888889
2018-02-20,35.05447916666667
2018-02-21,32.67652777777778
2018-02-22,49.12572916666667
2018-02-23,77.05350694444444
2018-02-24,50.94548611111111
2018-02-25,17.389305555555556
2018-02-26,16.879270833333333
2018-02-27,40.694270833333334
2018-02-28,60.31489583333333
2018-03-01,34.891354166666666
2018-03-02,19.503194444444443
2018-03-03,16.327916666666667
2018-03-04,34.51020833333333
2018-03-05,49.32447916666666
2018-03-06,79.66288194444444
2018-03-07,71.090625
2018-03-08,45.60697916666667
2018-03-09,59.52229166666667
2018-03-10,32.948819444444446
2018-03-11,18.57347222222222
2018-03-12,27.911631944444448
2018-03-13,29.91503472222222
2018-03-14,11.914131944444444
2018-03-15,4.834479166666667
2018-03-16,35.45899305555555
2018-03-17,70.6595138888889
2018-03-18,57.02545138888889
2018-03-19,50.128125000000004
2018-03-20,41.9765625
2018-03-21,32.49069444444444
2018-03-22,17.27763888888889
2018-03-23,26.802916666666665
2018-03-24,72.71104166666667
2018-03-25,84.41125000000001
2018-03-26,24.177673611111114
2018-03-27,52.37604166666667
2018-03-28,51.37246527777777
2018-03-29,8.514965277777778
2018-03-30,11.586666666666666
2018-03-31,14.850034722222224
2018-04-01,29.65392361111111
2018-04-02,21.058506944444442
2018-04-03,15.742152777777777
2018-04-04,16.855729166666666
2018-04-05,5.054583333333333
2018-04-06,18.969965277777778
2018-04-07,20.6240625
2018-04-08,39.25440972222222
2018-04-09,55.50121527777778
2018-04-10,51.368159722222224
2018-04-11,60.17652777777778
2018-04-12,32.83986111111111
2018-04-13,54.889965277777776
2018-04-14,61.352152777777775
2018-04-15,72.64125
2018-04-16,25.34201388888889
2018-04-17,0.0
2018-04-18,0.4889930555555555
2018-04-19,16.21496527777778
2018-04-20,27.143611111111113
2018-04-21,15.127083333333333
2018-04-22,15.998506944444443
2018-04-23,61.68159722222222
2018-04-24,21.35829861111111
2018-04-25,6.125173611111111
2018-04-26,6.314687500000001
2018-04-27,12.448472222222222
2018-04-28,16.8084375
2018-04-29,39.28760416666667
2018-04-30,31.403993055555556
2018-05-01,38.54732638888889
2018-05-02,55.08809027777778
2018-05-03,67.7154513888889
2018-05-04,61.65131944444445
2018-05-05,2.7992708333333334
2018-05-06,19.020972222222223
