,CLEMGPWF
2018-01-01,11.704992907801419
2018-01-02,23.625520833333336
2018-01-03,17.247635416666668
2018-01-04,19.90270138888889
2018-01-05,10.24578125
2018-01-06,26.74050347222222
2018-01-07,14.093128472222224
2018-01-08,18.732385416666666
2018-01-09,16.170368055555556
2018-01-10,19.524819444444443
2018-01-11,17.281180555555554
2018-01-12,19.097795138888888
2018-01-13,37.53053125
2018-01-14,25.816288194444443
2018-01-15,36.68460416666667
2018-01-16,36.13083680555555
2018-01-17,20.05878125
2018-01-18,16.548552083333334
2018-01-19,23.764062499999998
2018-01-20,22.721569444444444
2018-01-21,18.471024305555556
2018-01-22,14.509545138888889
2018-01-23,14.395996527777777
2018-01-24,9.314548611111112
2018-01-25,12.282524305555555
2018-01-26,26.795322916666667
2018-01-27,19.544260416666667
2018-01-28,34.163090277777776
2018-01-29,16.491309027777778
2018-01-30,45.36757638888889
2018-01-31,44.47490277777778
2018-02-01,34.44850694444444
2018-02-02,34.58056944444444
2018-02-03,34.451267361111114
2018-02-04,27.94962152777778
2018-02-05,28.30553125
2018-02-06,24.587465277777778
2018-02-07,16.58984027777778
2018-02-08,15.847211805555554
2018-02-09,12.064152777777778
2018-02-10,9.828083333333334
2018-02-11,26.699503472222222
2018-02-12,20.617048611111112
2018-02-13,10.675451388888888
2018-02-14,16.000600694444444
2018-02-15,12.439090277777778
2018-02-16,14.182211805555555
2018-02-17,13.57261111111111
2018-02-18,28.453368055555558
2018-02-19,37.237125
2018-02-20,32.07861805555556
2018-02-21,16.63882638888889
2018-02-22,30.355538194444446
2018-02-23,42.78406944444444
2018-02-24,26.618670138888888
2018-02-25,23.964645833333336
2018-02-26,26.0729375
2018-02-27,22.20454513888889
2018-02-28,32.05309375
2018-03-01,24.053204861111112
2018-03-02,10.71526388888889
2018-03-03,10.345798611111112
2018-03-04,22.539704861111108
2018-03-05,40.90292013888889
2018-03-06,43.88335069444444
2018-03-07,38.43470486111111
2018-03-08,27.48091666666667
2018-03-09,23.102211805555555
2018-03-10,17.352690972222224
2018-03-11,18.46595486111111
2018-03-12,32.92075694444444
2018-03-13,31.619899305555553
2018-03-14,22.75032638888889
2018-03-15,7.9596527777777775
2018-03-16,16.179878472222224
2018-03-17,35.782666666666664
2018-03-18,28.965836805555554
2018-03-19,11.250270833333333
2018-03-20,23.879399305555555
2018-03-21,32.73168402777778
2018-03-22,12.790979166666666
2018-03-23,16.5630625
2018-03-24,34.943979166666665
2018-03-25,42.009913194444444
2018-03-26,19.16331597222222
2018-03-27,34.095315972222224
2018-03-28,18.397211805555557
2018-03-29,9.164
2018-03-30,11.164458333333334
2018-03-31,8.885336805555555
2018-04-01,4.4384375
2018-04-02,12.959861111111111
2018-04-03,24.43013888888889
2018-04-04,23.558215277777776
2018-04-05,10.090475694444445
2018-04-06,18.212875
2018-04-07,13.660402777777778
2018-04-08,29.460343750000003
2018-04-09,30.552631944444446
2018-04-10,24.154260416666663
2018-04-11,29.137434027777775
2018-04-12,7.819343750000001
2018-04-13,25.53646875
2018-04-14,41.391656250000004
2018-04-15,36.97275
2018-04-16,15.999003472222222
2018-04-17,11.630975694444444
2018-04-18,14.295739583333335
2018-04-19,7.09596875
2018-04-20,10.273072916666667
2018-04-21,17.261416666666666
2018-04-22,15.118645833333334
2018-04-23,27.999131944444443
2018-04-24,5.322131944444444
2018-04-25,8.057677083333333
2018-04-26,11.266232638888889
2018-04-27,25.32557291666667
2018-04-28,17.603583333333333
2018-04-29,28.454604166666666
2018-04-30,18.08029861111111
2018-05-01,14.04579513888889
2018-05-02,25.48690625
2018-05-03,33.62984027777778
2018-05-04,27.78123958333333
2018-05-05,-0.32249999999999995
2018-05-06,8.1304375
2018-05-07,29.455527777777778
2018-05-08,3.23634375
2018-05-09,11.433864583333333
2018-05-10,33.85168402777778
2018-05-11,36.501989583333334
2018-05-12,16.085305555555554
2018-05-13,10.635729166666666
2018-05-14,8.557427083333334
2018-05-15,15.313222222222223
2018-05-16,33.731659722222226
2018-05-17,9.354798611111113
2018-05-18,4.719378472222222
2018-05-19,4.106100694444445
2018-05-20,2.0863680555555555
2018-05-21,10.451565972222221
2018-05-22,1.4422499999999998
2018-05-23,5.796392361111111
2018-05-24,21.366138888888887
2018-05-25,24.16729861111111
2018-05-26,34.53979861111111
2018-05-27,25.34857986111111
2018-05-28,35.97497222222222
2018-05-29,39.454951388888894
2018-05-30,9.105479166666667
2018-05-31,2.9245347222222224
2018-06-01,17.95401736111111
2018-06-02,3.412770833333333
2018-06-03,1.5020868055555556
2018-06-04,5.103302083333333
2018-06-05,15.497545138888889
2018-06-06,20.242309027777775
2018-06-07,29.008850694444444
2018-06-08,19.898166666666665
2018-06-09,-0.24873958333333332
2018-06-10,24.937604166666663
2018-06-11,37.84513194444445
2018-06-12,29.727944444444447
2018-06-13,36.63030902777778
2018-06-14,40.59771875
2018-06-15,40.756565972222226
2018-06-16,32.03531944444445
2018-06-17,23.855614583333335
2018-06-18,1.6346354166666666
2018-06-19,15.21187152777778
2018-06-20,6.541427083333333
2018-06-21,-0.14045138888888886
2018-06-22,3.6808541666666668
2018-06-23,2.140423611111111
2018-06-24,15.032590277777778
2018-06-25,15.306972222222223
2018-06-26,7.123260416666667
2018-06-27,1.3187118055555556
2018-06-28,11.276989583333332
2018-06-29,42.647246527777774
2018-06-30,5.0925520833333335
2018-07-01,2.029565972222222
2018-07-02,14.902979166666666
2018-07-03,29.41956597222222
2018-07-04,33.30696527777778
2018-07-05,34.4675
2018-07-06,35.74411111111111
2018-07-07,34.01678125
