,MUSSELR1
2018-01-01,147.18687943262412
2018-01-02,124.44409722222223
2018-01-03,47.50555555555556
2018-01-04,124.95868055555555
2018-01-05,4.1125
2018-01-06,15.025694444444445
2018-01-07,53.746874999999996
2018-01-08,60.54826388888889
2018-01-09,66.0982638888889
2018-01-10,49.25347222222222
2018-01-11,57.14930555555555
2018-01-12,77.32013888888889
2018-01-13,82.09097222222222
2018-01-14,49.15729166666667
2018-01-15,96.32048611111111
2018-01-16,50.75347222222222
2018-01-17,14.893402777777778
2018-01-18,1.851736111111111
2018-01-19,48.525
2018-01-20,89.17881944444444
2018-01-21,37.1
2018-01-22,48.285069444444446
2018-01-23,82.13958333333333
2018-01-24,47.84965277777778
2018-01-25,6.6937500000000005
2018-01-26,37.165625
2018-01-27,47.00347222222222
2018-01-28,30.60625
2018-01-29,28.926041666666666
2018-01-30,34.836111111111116
2018-01-31,50.15034722222222
2018-02-01,22.56076388888889
2018-02-02,14.921527777777778
2018-02-03,12.733333333333334
2018-02-04,26.786805555555556
2018-02-05,25.112847222222225
2018-02-06,22.453819444444445
2018-02-07,51.68611111111111
2018-02-08,20.953819444444445
2018-02-09,33.03055555555556
2018-02-10,33.52152777777778
2018-02-11,60.20729166666667
2018-02-12,39.98229166666666
2018-02-13,33.811458333333334
2018-02-14,90.13645833333334
2018-02-15,160.21770833333332
2018-02-16,154.71145833333333
2018-02-17,150.18263888888887
2018-02-18,62.78055555555556
2018-02-19,132.0375
2018-02-20,62.873263888888886
2018-02-21,11.98298611111111
2018-02-22,27.18472222222222
2018-02-23,26.32847222222222
2018-02-24,66.28472222222221
2018-02-25,69.14652777777778
2018-02-26,31.22361111111111
2018-02-27,11.30590277777778
2018-02-28,54.32222222222222
2018-03-01,39.92013888888889
2018-03-02,0.7777777777777778
2018-03-03,16.596180555555556
2018-03-04,69.77777777777779
2018-03-05,7.388541666666668
2018-03-06,1.7993055555555557
2018-03-07,3.543402777777778
2018-03-08,7.282986111111112
2018-03-09,7.605902777777778
2018-03-10,10.619097222222221
2018-03-11,14.961805555555555
2018-03-12,95.47152777777778
2018-03-13,50.076388888888886
2018-03-14,18.40173611111111
2018-03-15,42.26909722222222
2018-03-16,93.66666666666667
2018-03-17,54.251736111111114
2018-03-18,115.96145833333334
2018-03-19,86.68819444444445
2018-03-20,78.70104166666667
2018-03-21,112.27847222222222
2018-03-22,129.11388888888888
2018-03-23,74.47951388888889
2018-03-24,31.082291666666666
2018-03-25,106.69618055555556
2018-03-26,154.66006944444445
2018-03-27,33.75
2018-03-28,65.98993055555556
2018-03-29,121.5920138888889
2018-03-30,153.24826388888889
2018-03-31,32.78854166666667
2018-04-01,106.97777777777777
2018-04-02,158.8170138888889
2018-04-03,155.92777777777778
2018-04-04,103.12951388888888
2018-04-05,123.93305902777779
2018-04-06,27.992708333333336
2018-04-07,74.80520833333334
2018-04-08,48.44548611111111
2018-04-09,103.98923611111111
2018-04-10,75.38402777777777
2018-04-11,46.64027777777778
2018-04-12,147.26319097222222
2018-04-13,88.51354166666665
2018-04-14,154.00243055555555
2018-04-15,158.55798611111112
2018-04-16,114.18298611111112
2018-04-17,65.88680555555555
2018-04-18,9.627083333333333
2018-04-19,11.697222222222223
2018-04-20,2.397222222222222
2018-04-21,-0.2829861111111111
2018-04-22,0.21631944444444443
2018-04-23,8.168402777777777
2018-04-24,41.53333333333334
2018-04-25,60.56736111111112
2018-04-26,143.22569444444443
2018-04-27,19.065625
2018-04-28,14.751041666666666
