,MACARTH1
2018-01-01,55.639432624113475
2018-01-02,66.72763888888889
2018-01-03,38.27350694444444
2018-01-04,18.83857638888889
2018-01-05,20.604930555555555
2018-01-06,229.50767361111113
2018-01-07,44.9489375
2018-01-08,33.18635416666667
2018-01-09,77.11795138888888
2018-01-10,56.17395833333333
2018-01-11,32.92847222222222
2018-01-12,201.28399305555556
2018-01-13,203.9477777777778
2018-01-14,79.14434027777777
2018-01-15,98.19044791666666
2018-01-16,68.64819444444444
2018-01-17,76.23287499999999
2018-01-18,173.29522569444444
2018-01-19,73.11791666666666
2018-01-20,77.65163194444445
2018-01-21,22.310486111111114
2018-01-22,29.754305555555558
2018-01-23,30.56996527777778
2018-01-24,49.89458333333334
2018-01-25,77.71279861111111
2018-01-26,46.69003472222223
2018-01-27,38.874652777777776
2018-01-28,96.63059027777778
2018-01-29,100.18850694444444
2018-01-30,184.7376736111111
2018-01-31,208.13131944444444
2018-02-01,174.69208333333333
2018-02-02,124.44621875
2018-02-03,133.47489583333333
2018-02-04,79.388125
2018-02-05,75.89319444444445
2018-02-06,51.738920138888886
2018-02-07,65.1648263888889
2018-02-08,46.623715277777784
2018-02-09,20.200729166666665
2018-02-10,199.85118055555554
2018-02-11,43.33347222222222
2018-02-12,30.86034722222222
2018-02-13,24.622013888888887
2018-02-14,293.4968333333333
2018-02-15,139.7142361111111
2018-02-16,33.92625
2018-02-17,17.16554861111111
2018-02-18,25.19520833333333
2018-02-19,254.8378125
2018-02-20,193.04548611111113
2018-02-21,61.287708333333335
2018-02-22,98.64600694444444
2018-02-23,82.10836805555556
2018-02-24,97.63333333333333
2018-02-25,177.9782638888889
2018-02-26,90.99940972222221
2018-02-27,142.21131944444446
2018-02-28,290.5576076388889
2018-03-01,45.35260416666667
2018-03-02,43.33270833333333
2018-03-03,111.28885416666667
2018-03-04,29.91871527777778
2018-03-05,71.52302083333333
2018-03-06,162.85065972222222
2018-03-07,68.94878472222221
2018-03-08,53.75465277777778
2018-03-09,61.87506944444445
2018-03-10,85.86857638888888
2018-03-11,82.87440972222223
2018-03-12,80.71885416666667
2018-03-13,51.023854166666666
2018-03-14,25.14923611111111
2018-03-15,21.788576388888888
2018-03-16,47.559374999999996
2018-03-17,297.4555208333333
2018-03-18,340.5031597222222
2018-03-19,258.5855208333333
2018-03-20,181.82854166666667
2018-03-21,295.2920138888889
2018-03-22,173.61690972222223
2018-03-23,146.22090277777778
2018-03-24,40.53315972222222
2018-03-25,281.78781250000003
2018-03-26,213.06135416666666
2018-03-27,94.13479166666667
2018-03-28,172.23517361111112
2018-03-29,54.14239583333333
2018-03-30,107.5885763888889
2018-03-31,1.7594444444444444
2018-04-01,42.95152777777778
2018-04-02,58.96753472222222
2018-04-03,9.782083333333334
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,0.7478472222222222
2018-04-07,14.696041666666666
2018-04-08,213.27631944444443
2018-04-09,40.02979166666667
2018-04-10,139.7879861111111
2018-04-11,57.021388888888886
2018-04-12,222.05277777777778
2018-04-13,227.5765625
2018-04-14,351.24336805555555
2018-04-15,313.88270833333337
2018-04-16,201.20597222222224
2018-04-17,28.563993055555557
2018-04-18,26.384340277777778
2018-04-19,32.79170138888889
2018-04-20,51.759270833333325
2018-04-21,56.000590277777775
2018-04-22,4.742916666666667
2018-04-23,14.265381944444444
2018-04-24,130.80322916666668
2018-04-25,44.769305555555555
2018-04-26,48.882152777777776
2018-04-27,19.62986111111111
2018-04-28,49.71430555555555
2018-04-29,5.164027777777778
2018-04-30,-1.626875
2018-05-01,86.70694444444445
2018-05-02,201.27027777777778
2018-05-03,284.44111111111107
2018-05-04,262.4071875
2018-05-05,204.13986111111112
2018-05-06,101.87534722222222
2018-05-07,329.5774652777778
2018-05-08,2.9011805555555554
2018-05-09,168.17920138888888
2018-05-10,167.6235763888889
2018-05-11,388.7361111111111
2018-05-12,217.2064236111111
2018-05-13,54.37340277777778
2018-05-14,3.089097222222222
2018-05-15,102.37166666666667
2018-05-16,24.7921875
2018-05-17,94.5707361111111
2018-05-18,54.30725694444445
2018-05-19,61.64263888888889
2018-05-20,201.9194097222222
2018-05-21,147.4070486111111
2018-05-22,106.31225694444446
2018-05-23,29.276770833333334
2018-05-24,18.72888888888889
2018-05-25,20.678055555555556
2018-05-26,54.74364583333334
2018-05-27,243.9729861111111
2018-05-28,270.6111458333333
2018-05-29,224.74194444444444
2018-05-30,224.5589236111111
2018-05-31,49.37807291666667
2018-06-01,45.892291666666665
2018-06-02,48.384618055555556
2018-06-03,34.96270833333333
2018-06-04,13.344930555555555
2018-06-05,40.36697916666667
2018-06-06,142.49142361111112
2018-06-07,378.3052083333334
2018-06-08,215.65746527777776
