,OAKLAND1
2018-01-01,10.004609929078013
2018-01-02,13.152986111111112
2018-01-03,11.331249999999999
2018-01-04,5.816666666666666
2018-01-05,3.091666666666667
2018-01-06,33.76840277777778
2018-01-07,7.897916666666667
2018-01-08,11.560763888888888
2018-01-09,20.337847222222223
2018-01-10,10.129513888888889
2018-01-11,2.959375
2018-01-12,35.96666666666667
2018-01-13,37.61909722222222
2018-01-14,19.793055555555558
2018-01-15,24.090625
2018-01-16,13.16388888888889
2018-01-17,11.69652777777778
2018-01-18,19.775347222222223
2018-01-19,20.00347222222222
2018-01-20,8.19513888888889
2018-01-21,3.455208333333333
2018-01-22,9.264930555555555
2018-01-23,8.946875
2018-01-24,9.5375
2018-01-25,13.203472222222222
2018-01-26,4.013541666666667
2018-01-27,4.647222222222222
2018-01-28,22.123958333333334
2018-01-29,25.546875
2018-01-30,38.622569444444444
2018-01-31,42.467708333333334
2018-02-01,39.80416666666667
2018-02-02,22.790972222222223
2018-02-03,27.590625
2018-02-04,11.472916666666668
2018-02-05,11.746763888888887
2018-02-06,9.528819444444444
2018-02-07,10.963541666666666
2018-02-08,11.187875
2018-02-09,3.501041666666667
2018-02-10,33.38229166666667
2018-02-11,11.655902777777778
2018-02-12,7.4281250000000005
2018-02-13,2.7302083333333336
2018-02-14,41.533680555555556
2018-02-15,28.81423611111111
2018-02-16,5.7288194444444445
2018-02-17,4.125
2018-02-18,7.003125
2018-02-19,41.16736111111111
2018-02-20,24.48263888888889
2018-02-21,22.418402777777775
2018-02-22,20.806597222222223
2018-02-23,34.00494097222222
2018-02-24,25.891319444444445
2018-02-25,39.15277777777778
2018-02-26,17.353819444444444
2018-02-27,29.89097222222222
2018-02-28,45.4125
2018-03-01,13.398958333333333
2018-03-02,4.381597222222222
2018-03-03,16.87326388888889
2018-03-04,10.696875
2018-03-05,22.605208333333334
2018-03-06,36.77569444444445
2018-03-07,11.169444444444444
2018-03-08,11.739583333333334
2018-03-09,11.955152777777778
2018-03-10,8.39236111111111
2018-03-11,19.536458333333332
2018-03-12,26.474305555555556
2018-03-13,16.286805555555556
2018-03-14,7.1663194444444445
2018-03-15,6.437847222222222
2018-03-16,5.764930555555555
2018-03-17,27.25277777777778
2018-03-18,43.581250000000004
2018-03-19,46.428125
2018-03-20,31.67724652777778
2018-03-21,50.52439583333333
2018-03-22,30.129166666666666
2018-03-23,44.997569444444444
2018-03-24,15.515625
2018-03-25,48.36944444444445
2018-03-26,39.75590277777778
2018-03-27,16.747569444444444
2018-03-28,26.5125
2018-03-29,6.081597222222221
2018-03-30,20.923958333333335
2018-03-31,0.5559027777777777
2018-04-01,6.970833333333334
2018-04-02,8.021527777777779
2018-04-03,4.971527777777777
2018-04-04,5.342708333333333
2018-04-05,3.959375
2018-04-06,4.180208333333334
2018-04-07,0.45798611111111115
2018-04-08,28.307291666666668
2018-04-09,6.151041666666667
2018-04-10,15.349131944444444
2018-04-11,3.73665625
2018-04-12,30.39097222222222
2018-04-13,24.35457291666667
2018-04-14,49.08958333333334
2018-04-15,49.61041666666667
2018-04-16,37.80833333333333
2018-04-17,8.443461805555556
2018-04-18,2.2354166666666666
2018-04-19,2.5935243055555555
2018-04-20,4.163208333333333
2018-04-21,5.51561111111111
2018-04-22,0.03750000000000004
2018-04-23,2.1979930555555556
2018-04-24,17.5875
2018-04-25,6.942708333333333
2018-04-26,12.490972222222224
2018-04-27,3.852777777777778
2018-04-28,11.721527777777778
2018-04-29,3.503472222222222
2018-04-30,-0.31527777777777777
2018-05-01,12.442708333333334
2018-05-02,26.829166666666666
2018-05-03,38.87257638888889
2018-05-04,50.987500000000004
2018-05-05,37.82361111111111
2018-05-06,14.99375
2018-05-07,41.78507986111111
2018-05-08,0.5392361111111111
2018-05-09,25.001041666666666
2018-05-10,30.711458333333336
2018-05-11,60.82118055555555
2018-05-12,49.370138888888896
2018-05-13,17.727430555555557
2018-05-14,0.8635416666666668
2018-05-15,17.544954861111112
2018-05-16,8.312152777777778
2018-05-17,17.601736111111112
2018-05-18,13.775347222222223
2018-05-19,9.577083333333334
2018-05-20,46.72986111111111
2018-05-21,39.72430555555555
2018-05-22,25.089375
2018-05-23,6.786458333333333
2018-05-24,4.022916666666666
2018-05-25,2.259027777777778
2018-05-26,17.548288194444442
2018-05-27,48.89094097222222
2018-05-28,51.40625
2018-05-29,26.34583333333333
2018-05-30,6.957291666666666
2018-05-31,1.007986111111111
2018-06-01,1.936222222222222
2018-06-02,3.210736111111111
2018-06-03,0.9270694444444444
2018-06-04,5.002777777777777
2018-06-05,11.127430555555556
2018-06-06,35.72606597222222
2018-06-07,60.341319444444444
2018-06-08,28.060416666666665
2018-06-09,1.5906250000000002
2018-06-10,1.9813020833333335
2018-06-11,56.69513888888889
2018-06-12,47.18402777777778
2018-06-13,31.993402777777778
2018-06-14,51.453125
2018-06-15,56.56354166666666
2018-06-16,36.50659722222222
2018-06-17,51.452777777777776
2018-06-18,13.410416666666668
2018-06-19,11.075000000000001
2018-06-20,15.434722222222222
2018-06-21,1.9809027777777777
2018-06-22,1.625
2018-06-23,11.450694444444444
2018-06-24,0.07118055555555555
2018-06-25,-0.2673611111111111
2018-06-26,0.5951388888888888
2018-06-27,-0.16631944444444444
2018-06-28,0.32411805555555556
2018-06-29,39.33967361111111
2018-06-30,26.951736111111114
2018-07-01,5.529513888888889
2018-07-02,16.851388888888888
2018-07-03,57.93385069444444
2018-07-04,49.20243055555556
2018-07-05,42.268055555555556
2018-07-06,56.51006944444445
2018-07-07,58.84826388888889
