,LKBONNY3
2018-01-01,7.591425531914894
2018-01-02,9.419565972222221
2018-01-03,4.8824375
2018-01-04,1.6424305555555556
2018-01-05,1.1771284722222222
2018-01-06,19.213368055555556
2018-01-07,5.144534722222223
2018-01-08,3.971559027777778
2018-01-09,11.128927083333332
2018-01-10,7.1800243055555555
2018-01-11,5.092180555555555
2018-01-12,17.560083333333335
2018-01-13,21.263930555555557
2018-01-14,5.122215277777777
2018-01-15,10.479972222222221
2018-01-16,12.998552083333335
2018-01-17,5.292291666666666
2018-01-18,16.93965972222222
2018-01-19,8.524569444444445
2018-01-20,15.63964236111111
2018-01-21,4.949552083333334
2018-01-22,3.254496527777778
2018-01-23,3.391607638888889
2018-01-24,6.307232638888888
2018-01-25,7.827121527777777
2018-01-26,6.9767777777777775
2018-01-27,2.7568611111111108
2018-01-28,8.730902777777777
2018-01-29,10.95164236111111
2018-01-30,15.855020833333334
2018-01-31,17.208708333333334
2018-02-01,19.616416666666666
2018-02-02,19.635753472222223
2018-02-03,21.19626736111111
2018-02-04,14.155111111111111
2018-02-05,12.47118402777778
2018-02-06,7.8178020833333335
2018-02-07,0.6469479166666666
2018-02-08,6.5666770833333326
2018-02-09,5.097732638888889
2018-02-10,12.555114583333333
2018-02-11,5.562239583333334
2018-02-12,3.9366388888888886
2018-02-13,4.1920520833333335
2018-02-14,27.488895833333334
2018-02-15,14.99595486111111
2018-02-16,4.391614583333333
2018-02-17,2.1786527777777778
2018-02-18,1.2934444444444444
2018-02-19,25.11485763888889
2018-02-20,15.515749999999999
2018-02-21,6.080118055555555
2018-02-22,4.465052083333333
2018-02-23,5.865468750000001
2018-02-24,7.180204861111111
2018-02-25,11.940197916666667
2018-02-26,8.27948611111111
2018-02-27,13.129236111111112
2018-02-28,27.512934027777778
2018-03-01,3.5832569444444444
2018-03-02,3.799513888888889
2018-03-03,7.198336805555556
2018-03-04,2.7553159722222222
2018-03-05,5.898524305555555
2018-03-06,18.58544097222222
2018-03-07,11.1223125
2018-03-08,5.243854166666666
2018-03-09,4.333489583333333
2018-03-10,11.554736111111112
2018-03-11,8.36765625
2018-03-12,5.735708333333334
2018-03-13,3.58734375
2018-03-14,1.6539340277777779
2018-03-15,2.0102847222222224
2018-03-16,2.976482638888889
2018-03-17,19.96432638888889
2018-03-18,32.783743055555554
2018-03-19,27.354531249999997
2018-03-20,14.887243055555556
2018-03-21,23.20703472222222
2018-03-22,15.536531250000001
2018-03-23,12.196069444444445
2018-03-24,1.0620590277777777
2018-03-25,0.0
2018-03-26,0.0
2018-03-27,1.5575624999999997
2018-03-28,11.279527777777778
2018-03-29,11.831930555555557
2018-03-30,8.87426736111111
2018-03-31,1.5791805555555554
2018-04-01,4.073625
2018-04-02,9.102079861111111
2018-04-03,1.4665
2018-04-04,0.7877638888888888
2018-04-05,0.8136319444444444
2018-04-06,0.8185902777777777
2018-04-07,2.7961041666666664
2018-04-08,11.47851388888889
2018-04-09,3.1337430555555557
2018-04-10,7.617246527777778
2018-04-11,16.274194444444444
2018-04-12,11.56329861111111
2018-04-13,17.00729861111111
2018-04-14,28.637350694444446
2018-04-15,29.924534722222223
2018-04-16,22.991302083333334
2018-04-17,2.7706666666666666
2018-04-18,5.688739583333334
2018-04-19,2.86478125
2018-04-20,4.819902777777778
2018-04-21,6.26638888888889
2018-04-22,4.437447916666667
2018-04-23,3.3770555555555557
2018-04-24,11.083934027777778
2018-04-25,6.589031250000001
2018-04-26,6.578243055555556
2018-04-27,2.278798611111111
2018-04-28,5.312600694444444
2018-04-29,0.41962499999999997
2018-04-30,-0.10240972222222222
2018-05-01,5.118180555555555
2018-05-02,11.309940972222222
2018-05-03,14.913798611111112
2018-05-04,32.94680902777778
2018-05-05,27.710802083333334
2018-05-06,7.213454861111111
2018-05-07,23.121979166666666
2018-05-08,1.9671493055555553
2018-05-09,22.09719791666667
2018-05-10,29.103277777777777
2018-05-11,31.750312500000003
2018-05-12,8.85379513888889
2018-05-13,2.047107638888889
2018-05-14,0.24169444444444446
2018-05-15,7.276559027777778
2018-05-16,3.6103958333333335
2018-05-17,20.159704861111113
2018-05-18,9.882784722222222
2018-05-19,6.409923611111111
2018-05-20,22.9969375
2018-05-21,30.587559027777775
2018-05-22,17.748496527777778
2018-05-23,5.719802083333334
2018-05-24,1.4831354166666666
2018-05-25,1.7660868055555554
2018-05-26,12.549854166666668
2018-05-27,18.720913194444446
2018-05-28,15.789107638888888
2018-05-29,17.08576736111111
2018-05-30,28.054270833333334
2018-05-31,4.230017361111111
2018-06-01,2.69321875
2018-06-02,0.5545694444444444
2018-06-03,1.1823055555555555
2018-06-04,2.97015625
2018-06-05,3.026611111111111
2018-06-06,14.681184027777777
2018-06-07,27.115381944444447
2018-06-08,12.947347222222222
2018-06-09,0.002711805555555554
2018-06-10,3.9575104166666666
2018-06-11,24.341687500000003
2018-06-12,26.40609375
2018-06-13,23.462902777777774
2018-06-14,24.489541666666668
2018-06-15,31.409916666666664
2018-06-16,22.693572916666668
2018-06-17,27.777451388888892
2018-06-18,2.1612395833333333
2018-06-19,2.31034375
2018-06-20,10.31001388888889
2018-06-21,0.4339409722222222
2018-06-22,6.1853750000000005
2018-06-23,3.9742569444444444
2018-06-24,0.07557638888888894
2018-06-25,-0.10817013888888888
2018-06-26,0.748263888888889
2018-06-27,0.8804097222222222
2018-06-28,2.867493055555556
2018-06-29,16.469805555555556
2018-06-30,15.627253472222222
2018-07-01,3.7111944444444447
2018-07-02,12.82159375
2018-07-03,28.38065277777778
2018-07-04,19.521850694444446
